@RELATION zoo

@ATTRIBUTE feature_01 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV, CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF, DG, DH, DI, DJ, DK, DL, DM, DN, DO, DP, DQ, DR, DS, DT, DU, DV}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 {A, B}
@ATTRIBUTE feature_04 {A, B}
@ATTRIBUTE feature_05 {A, B}
@ATTRIBUTE feature_06 {A, B}
@ATTRIBUTE feature_07 {A, B}
@ATTRIBUTE feature_08 {A, B}
@ATTRIBUTE feature_09 {A, B}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 {A, B}
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B}
@ATTRIBUTE feature_14 REAL
@ATTRIBUTE feature_15 {A, B}
@ATTRIBUTE feature_16 {A, B}
@ATTRIBUTE feature_17 {A, B}
@ATTRIBUTE class {A, B, C, D, E, F, G}

@DATA
AZ,A,A,B,A,A,B,B,B,B,B,B,A,4.0,A,A,A,A
BA,B,A,A,B,B,A,A,B,B,B,A,A,2.0,B,A,A,F
BB,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,B,F
BC,B,A,A,B,A,A,B,B,B,B,A,A,2.0,A,B,B,F
BD,A,A,B,A,B,A,A,A,A,B,A,A,6.0,A,A,A,D
BE,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,B,B,F
BF,B,A,A,B,A,A,A,B,B,B,A,A,2.0,A,A,B,F
BG,A,B,B,A,B,B,B,A,B,B,A,A,2.0,B,A,A,B
BH,A,A,B,A,A,B,A,B,B,A,A,B,0.0,B,A,A,C
BI,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,B,A,F
BJ,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,A,F
BK,A,B,B,A,B,A,B,A,B,B,A,A,2.0,B,A,A,B
BL,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,A,C
BM,B,A,B,A,B,A,A,A,A,B,B,A,6.0,A,B,A,D
BN,B,A,B,A,B,A,A,A,A,B,A,A,6.0,A,A,A,D
BO,A,B,B,A,A,A,B,A,B,B,A,A,2.0,B,A,A,B
BP,A,A,B,A,B,A,B,A,A,B,A,A,6.0,A,A,A,D
BQ,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,A,A,B
BR,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
BS,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
BT,A,A,B,A,A,B,B,A,A,A,A,A,6.0,A,A,A,E
BU,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
BV,B,A,A,B,A,B,B,B,B,B,A,A,4.0,B,A,B,F
BW,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,A,F
BX,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
BY,B,A,B,A,B,A,A,A,A,B,A,A,6.0,A,A,A,D
BZ,A,A,B,A,A,B,B,B,B,B,A,A,4.0,B,A,A,A
CA,A,A,B,A,A,B,B,A,A,A,A,A,8.0,A,A,B,E
CB,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,A,F
CC,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,B,F
CD,A,B,B,A,A,A,A,A,B,B,A,A,2.0,B,A,B,B
CE,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,B,A,B
CF,A,B,B,A,A,B,B,A,B,B,A,A,2.0,B,A,B,B
CG,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,A,A,B
CH,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,B,C
CI,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,A,C
CJ,A,A,B,A,A,A,B,B,B,B,B,A,0.0,B,A,A,G
CK,B,A,B,B,A,B,B,A,B,B,A,A,4.0,B,A,B,F
CL,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
CM,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,B,B,F
CN,A,A,A,B,A,B,B,B,B,B,A,B,0.0,B,A,B,F
CO,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
CP,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,B,B,F
CQ,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
CR,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,B,B,F
CS,A,B,B,A,A,A,B,A,B,B,A,A,2.0,B,A,B,B
CT,A,A,A,A,A,A,B,A,A,B,B,A,8.0,B,A,A,E
CU,A,A,B,A,A,B,A,B,B,A,A,B,0.0,B,A,A,C
CV,B,A,A,B,A,B,B,B,B,B,A,B,0.0,A,A,B,F
CW,B,A,A,B,A,B,B,B,B,B,A,B,2.0,B,A,B,F
CX,A,A,A,A,A,B,B,B,B,A,B,A,0.0,B,A,A,G
CY,A,A,B,A,A,B,B,A,A,A,B,A,0.0,A,A,A,E
CZ,A,B,B,A,B,B,B,A,B,B,A,A,2.0,B,A,A,B
DA,A,B,B,A,B,B,B,A,B,B,A,A,2.0,B,A,A,B
DB,A,A,B,A,A,A,B,B,B,B,A,A,0.0,B,A,A,G
DC,A,A,B,A,A,A,A,A,A,B,A,A,0.0,A,A,A,E
DD,A,A,B,A,A,B,A,B,B,A,A,B,0.0,B,A,A,C
DE,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,A,A,B
DF,B,A,A,B,A,A,A,B,B,B,A,A,2.0,B,A,A,F
DG,A,A,B,A,A,B,B,A,A,A,A,A,5.0,A,A,A,E
DH,A,A,B,A,A,B,B,B,B,A,B,B,0.0,B,A,B,C
DI,A,B,B,A,B,B,A,A,B,B,A,A,2.0,B,A,B,B
DJ,A,A,B,A,A,A,A,A,A,B,A,A,6.0,A,A,A,D
DK,A,A,B,A,A,B,A,B,B,B,A,A,4.0,A,A,A,A
DL,A,A,B,A,A,A,A,A,B,B,A,A,4.0,B,A,B,G
DM,A,A,B,A,A,A,B,B,B,B,A,A,4.0,B,A,A,G
DN,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,B,C
DO,B,A,A,B,B,A,A,B,B,B,A,A,2.0,B,A,A,F
DP,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,A,F
DQ,A,B,B,A,B,A,B,A,B,B,A,A,2.0,B,A,B,B
DR,B,A,A,B,A,A,A,B,B,B,A,A,2.0,B,A,B,F
DS,B,A,B,A,B,A,A,A,A,B,B,A,6.0,A,A,A,D
DT,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
DU,A,A,B,A,A,A,A,A,A,B,A,A,0.0,A,A,A,E
DV,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,A,A,B
% 
% 
% 
