@RELATION german-credit

@ATTRIBUTE feature_01 {A, B, C, D}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 {A, B, C, D, E}
@ATTRIBUTE feature_04 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B, C, D}
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C}
@ATTRIBUTE feature_15 {A, B, C}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 {A, B}
@ATTRIBUTE feature_20 {A, B}
@ATTRIBUTE class {A, B}

@DATA
B,60.0,C,A,6836.0,C,D,3.0,D,C,4.0,C,63.0,B,B,2.0,B,1.0,B,B,A
A,18.0,D,A,1913.0,D,C,3.0,C,C,3.0,D,36.0,A,B,1.0,B,1.0,B,B,B
B,24.0,D,D,4020.0,C,A,2.0,D,C,2.0,A,27.0,C,B,1.0,B,1.0,A,B,B
A,18.0,D,E,5866.0,A,A,2.0,D,C,2.0,A,30.0,B,B,2.0,B,1.0,B,B,B
D,12.0,B,A,1264.0,E,D,4.0,D,C,4.0,C,57.0,B,C,1.0,D,1.0,A,B,B
C,12.0,D,D,1474.0,C,C,4.0,A,C,1.0,B,33.0,A,B,1.0,A,1.0,B,B,B
A,45.0,B,G,4746.0,C,C,4.0,D,C,2.0,B,25.0,B,B,2.0,D,1.0,A,B,A
D,48.0,B,C,6110.0,C,A,1.0,D,C,3.0,C,31.0,A,A,1.0,B,1.0,B,B,B
C,18.0,D,G,2100.0,C,A,4.0,D,A,2.0,D,37.0,C,B,1.0,B,1.0,A,B,A
C,10.0,D,B,1225.0,C,A,2.0,D,C,2.0,A,37.0,B,B,1.0,B,1.0,B,B,B
A,9.0,D,G,458.0,C,A,4.0,D,C,3.0,D,24.0,B,B,1.0,B,1.0,A,B,B
D,30.0,D,G,2333.0,B,D,4.0,D,C,2.0,A,30.0,A,B,1.0,A,1.0,A,B,B
A,12.0,D,G,1158.0,B,A,3.0,B,C,1.0,A,26.0,B,B,1.0,B,1.0,B,B,B
A,18.0,C,H,6204.0,C,A,2.0,D,C,4.0,D,44.0,B,B,1.0,D,2.0,B,B,B
B,30.0,B,J,6187.0,A,B,1.0,C,C,4.0,A,24.0,B,C,2.0,B,1.0,A,B,B
B,48.0,B,J,6143.0,C,D,4.0,A,C,4.0,C,58.0,C,A,2.0,D,1.0,A,B,A
D,11.0,B,E,1393.0,C,C,4.0,A,C,4.0,A,35.0,B,B,2.0,A,1.0,A,B,B
D,36.0,D,G,2299.0,B,D,4.0,D,C,4.0,A,39.0,B,B,1.0,B,1.0,A,B,B
B,6.0,D,J,1352.0,B,E,1.0,A,C,2.0,B,23.0,B,C,1.0,C,1.0,B,B,B
D,11.0,B,E,7228.0,C,A,1.0,D,C,4.0,B,39.0,B,B,2.0,D,1.0,A,B,B
D,12.0,D,G,2073.0,A,A,4.0,A,A,2.0,D,28.0,B,B,1.0,B,1.0,A,B,B
A,24.0,C,D,2333.0,E,C,4.0,D,C,2.0,B,29.0,A,B,1.0,D,1.0,A,B,B
A,27.0,C,J,5965.0,C,D,1.0,D,C,2.0,A,30.0,B,B,2.0,A,1.0,B,B,B
D,12.0,D,G,1262.0,C,A,3.0,D,C,2.0,A,25.0,B,B,1.0,B,1.0,A,B,B
D,18.0,D,J,3378.0,E,A,2.0,D,C,1.0,B,31.0,B,B,1.0,B,1.0,B,B,B
A,36.0,C,E,2225.0,C,D,4.0,D,C,4.0,C,57.0,A,A,2.0,B,1.0,B,B,A
D,6.0,A,E,783.0,E,A,1.0,D,B,2.0,D,26.0,C,B,1.0,D,2.0,A,B,B
A,12.0,D,G,6468.0,E,E,2.0,D,C,1.0,C,52.0,B,B,1.0,A,1.0,B,B,A
D,36.0,B,G,9566.0,C,A,2.0,A,C,2.0,A,31.0,C,B,2.0,B,1.0,A,B,B
C,18.0,D,E,1961.0,C,D,3.0,A,C,2.0,A,23.0,B,B,1.0,A,1.0,A,B,B
B,36.0,B,D,6229.0,C,C,4.0,A,A,4.0,C,23.0,B,C,2.0,D,1.0,B,B,A
A,9.0,D,A,1391.0,C,A,2.0,C,C,1.0,D,27.0,A,B,1.0,B,1.0,B,B,B
A,15.0,B,G,1537.0,E,D,4.0,D,B,4.0,D,50.0,B,B,2.0,B,1.0,B,B,B
A,36.0,E,A,1953.0,C,D,4.0,D,C,4.0,C,61.0,B,A,1.0,A,1.0,B,B,A
A,48.0,E,A,14421.0,C,A,2.0,D,C,2.0,A,25.0,B,B,1.0,B,1.0,B,B,A
D,24.0,D,G,3181.0,C,C,4.0,A,C,4.0,B,26.0,B,B,1.0,B,1.0,B,B,B
D,27.0,D,H,5190.0,E,D,4.0,D,C,4.0,B,48.0,B,B,4.0,B,2.0,B,B,B
D,12.0,D,G,2171.0,C,C,2.0,A,C,2.0,A,29.0,A,B,1.0,B,1.0,A,B,B
A,12.0,D,E,1007.0,D,A,4.0,C,C,1.0,D,22.0,B,B,1.0,B,1.0,A,B,B
D,36.0,D,C,1819.0,C,A,4.0,D,C,4.0,C,37.0,C,A,1.0,B,1.0,B,B,A
D,36.0,D,G,2394.0,E,A,4.0,A,C,4.0,A,25.0,B,B,1.0,B,1.0,A,B,B
D,36.0,D,J,8133.0,C,A,1.0,A,C,2.0,B,30.0,A,B,1.0,B,1.0,A,B,B
D,7.0,B,G,730.0,E,D,4.0,D,C,2.0,B,46.0,B,C,2.0,D,1.0,B,B,B
B,8.0,B,F,1164.0,C,D,3.0,D,C,4.0,C,51.0,A,A,2.0,A,2.0,B,B,B
A,42.0,B,A,5954.0,C,B,2.0,A,C,1.0,D,41.0,A,B,2.0,D,1.0,A,B,B
B,36.0,D,C,1977.0,E,D,4.0,D,C,4.0,C,40.0,B,B,1.0,A,1.0,B,B,A
B,12.0,B,J,1526.0,C,D,4.0,D,C,4.0,C,66.0,B,A,2.0,A,1.0,A,B,B
B,42.0,D,G,3965.0,C,C,4.0,D,C,3.0,A,34.0,B,B,1.0,B,1.0,A,B,A
A,11.0,C,G,4771.0,C,B,2.0,D,C,4.0,B,51.0,B,B,1.0,B,1.0,A,B,B
D,54.0,E,J,9436.0,E,A,2.0,D,C,2.0,B,39.0,B,B,1.0,D,2.0,A,B,B
A,30.0,D,D,3832.0,C,C,2.0,C,C,1.0,B,22.0,B,B,1.0,B,1.0,A,B,B
D,24.0,D,G,5943.0,E,C,1.0,A,C,1.0,A,44.0,B,B,2.0,B,1.0,B,B,A
D,15.0,D,G,1213.0,B,D,4.0,D,C,3.0,B,47.0,C,B,1.0,B,1.0,B,B,B
D,18.0,D,A,1568.0,A,A,3.0,A,C,4.0,B,24.0,B,C,1.0,D,1.0,A,B,B
B,24.0,D,F,1755.0,C,D,4.0,A,B,4.0,D,58.0,B,B,1.0,D,1.0,B,B,B
B,10.0,D,G,2315.0,C,D,3.0,D,C,4.0,D,52.0,B,B,1.0,D,1.0,A,B,B
D,12.0,B,A,1412.0,C,A,4.0,A,B,2.0,D,29.0,B,B,2.0,A,1.0,B,B,B
A,18.0,B,D,1295.0,C,C,4.0,A,C,1.0,B,27.0,B,B,2.0,B,1.0,A,B,B
A,36.0,D,C,12612.0,A,A,1.0,D,C,4.0,C,47.0,B,A,1.0,B,2.0,B,B,A
B,18.0,D,E,2249.0,A,B,4.0,D,C,3.0,A,30.0,B,B,1.0,A,2.0,B,B,B
B,12.0,E,H,1108.0,C,B,4.0,D,C,3.0,D,28.0,B,B,2.0,B,1.0,A,B,A
D,12.0,B,G,618.0,C,D,4.0,D,C,4.0,D,56.0,B,B,1.0,B,1.0,A,B,B
B,12.0,B,J,1409.0,C,D,4.0,D,C,3.0,D,54.0,B,B,1.0,B,1.0,A,B,B
D,12.0,B,G,797.0,E,D,4.0,A,C,3.0,B,33.0,A,B,1.0,D,2.0,A,B,A
C,24.0,B,D,3617.0,E,D,4.0,D,A,4.0,C,20.0,B,C,2.0,B,1.0,A,B,B
A,12.0,D,E,1318.0,D,D,4.0,D,C,4.0,D,54.0,B,B,1.0,B,1.0,B,B,B
A,54.0,E,A,15945.0,C,C,3.0,D,C,4.0,C,58.0,B,C,1.0,B,1.0,B,B,A
D,12.0,B,C,2012.0,E,B,4.0,A,C,2.0,A,61.0,B,B,1.0,B,1.0,A,B,B
A,18.0,D,A,2622.0,A,A,4.0,D,C,4.0,A,34.0,B,B,1.0,B,1.0,A,B,B
A,36.0,B,G,2337.0,C,D,4.0,D,C,4.0,D,36.0,B,B,1.0,B,1.0,A,B,B
A,20.0,C,J,7057.0,E,B,3.0,D,C,4.0,B,36.0,A,C,2.0,A,2.0,B,B,B
D,24.0,D,E,1469.0,A,D,4.0,C,C,4.0,D,41.0,B,C,1.0,D,1.0,A,B,B
A,36.0,D,G,2323.0,C,B,4.0,D,C,4.0,A,24.0,B,C,1.0,B,1.0,A,B,B
D,6.0,C,G,932.0,C,A,3.0,A,C,2.0,D,24.0,B,B,1.0,B,1.0,A,B,B
A,9.0,B,D,1919.0,C,B,4.0,D,C,3.0,A,35.0,B,C,1.0,B,1.0,B,B,B
D,12.0,D,J,2445.0,E,C,2.0,C,C,4.0,A,26.0,B,C,1.0,B,1.0,B,B,B
A,24.0,B,F,11938.0,C,A,2.0,D,A,3.0,A,39.0,B,B,2.0,A,2.0,B,B,A
D,18.0,A,E,6458.0,C,D,2.0,D,C,4.0,C,39.0,A,B,2.0,A,2.0,B,B,A
A,12.0,D,E,6078.0,C,B,2.0,D,C,2.0,A,32.0,B,B,1.0,B,1.0,A,B,B
B,24.0,D,D,7721.0,E,C,1.0,A,C,2.0,B,30.0,B,B,1.0,B,1.0,B,A,B
A,14.0,D,A,1410.0,B,D,1.0,C,C,2.0,D,35.0,B,B,1.0,B,1.0,B,B,B
A,6.0,C,A,1449.0,A,D,1.0,B,C,2.0,A,31.0,A,B,2.0,B,2.0,A,B,B
C,15.0,D,C,392.0,C,C,4.0,A,C,4.0,B,23.0,B,C,1.0,B,1.0,B,B,B
A,18.0,D,E,6260.0,C,B,3.0,D,C,3.0,D,28.0,B,C,1.0,D,1.0,A,B,B
D,36.0,B,E,7855.0,C,A,4.0,A,C,2.0,D,25.0,C,B,2.0,B,1.0,B,B,A
B,12.0,D,G,1680.0,B,D,3.0,C,C,1.0,D,35.0,B,B,1.0,B,1.0,A,B,B
D,48.0,B,G,3578.0,E,D,4.0,D,C,1.0,D,47.0,B,B,1.0,B,1.0,B,B,B
B,42.0,D,G,7174.0,E,B,4.0,A,C,3.0,A,30.0,B,B,1.0,A,1.0,B,B,A
B,10.0,B,D,2132.0,E,C,2.0,A,A,3.0,D,27.0,B,C,2.0,B,1.0,A,A,B
B,33.0,B,D,4281.0,B,A,1.0,A,C,4.0,A,23.0,B,B,2.0,B,1.0,A,B,A
A,12.0,B,E,2366.0,B,B,3.0,B,C,3.0,A,36.0,B,B,1.0,A,1.0,B,B,B
B,21.0,D,G,1835.0,C,A,3.0,A,C,2.0,D,25.0,B,B,2.0,B,1.0,B,B,A
D,24.0,B,J,3868.0,C,D,4.0,A,C,2.0,A,41.0,B,C,2.0,A,1.0,B,B,B
D,12.0,D,D,1768.0,C,A,3.0,D,C,2.0,D,24.0,B,C,1.0,D,1.0,A,B,B
C,10.0,B,E,781.0,C,D,4.0,D,C,4.0,C,63.0,B,A,2.0,B,1.0,B,B,B
A,18.0,D,D,1924.0,E,C,4.0,A,C,3.0,D,27.0,B,C,1.0,B,1.0,A,B,A
B,12.0,B,E,2121.0,C,A,4.0,D,C,2.0,B,30.0,B,B,2.0,B,1.0,A,B,B
B,12.0,D,G,701.0,C,A,4.0,C,C,2.0,D,40.0,B,B,1.0,D,1.0,A,B,B
A,12.0,D,H,639.0,C,A,4.0,D,C,2.0,A,30.0,B,B,1.0,B,1.0,A,B,A
A,12.0,B,J,1860.0,C,E,4.0,D,C,2.0,A,34.0,B,B,2.0,A,1.0,B,B,B
B,12.0,B,E,3499.0,C,A,3.0,A,A,2.0,D,29.0,B,B,2.0,B,1.0,A,B,A
A,48.0,D,E,8487.0,E,B,1.0,A,C,2.0,A,24.0,B,B,1.0,B,1.0,A,B,B
B,36.0,C,C,6887.0,C,A,4.0,D,C,3.0,B,29.0,C,B,1.0,B,1.0,B,B,A
D,15.0,D,D,2708.0,C,C,2.0,D,C,3.0,B,27.0,A,B,2.0,D,1.0,A,B,B
D,18.0,D,D,1984.0,C,A,4.0,D,C,4.0,C,47.0,A,A,2.0,B,1.0,A,B,B
D,60.0,D,G,10144.0,A,B,2.0,A,C,4.0,D,21.0,B,B,1.0,B,1.0,B,B,B
D,12.0,B,G,1240.0,E,D,4.0,A,C,2.0,D,38.0,B,B,2.0,B,1.0,B,B,B
D,27.0,C,J,8613.0,D,A,2.0,D,C,2.0,A,27.0,B,B,2.0,B,1.0,A,B,B
A,12.0,D,G,766.0,B,A,4.0,D,C,3.0,D,66.0,B,B,1.0,D,1.0,A,B,A
A,15.0,B,G,2728.0,E,B,4.0,D,B,2.0,D,35.0,A,B,3.0,B,1.0,B,B,B
C,12.0,D,G,1881.0,C,A,2.0,A,C,2.0,A,44.0,B,C,1.0,D,1.0,B,B,B
C,6.0,D,E,709.0,D,C,2.0,C,C,2.0,D,27.0,B,B,1.0,C,1.0,A,A,B
A,36.0,D,G,4795.0,C,C,4.0,A,C,1.0,C,30.0,B,B,1.0,A,1.0,B,B,B
B,27.0,D,G,3416.0,C,A,3.0,D,C,2.0,A,27.0,B,B,1.0,A,1.0,A,B,B
B,18.0,D,D,2462.0,C,A,2.0,D,C,2.0,A,22.0,B,B,1.0,B,1.0,A,B,A
D,21.0,B,D,2288.0,C,C,4.0,A,C,4.0,B,23.0,B,B,1.0,B,1.0,B,B,B
A,48.0,A,A,3566.0,A,B,4.0,D,C,2.0,A,30.0,B,B,1.0,B,1.0,A,B,B
B,6.0,B,E,860.0,C,D,1.0,A,C,4.0,C,39.0,B,B,2.0,B,1.0,B,B,B
D,12.0,B,E,682.0,A,B,4.0,A,C,3.0,A,51.0,B,B,2.0,B,1.0,B,B,B
B,36.0,B,D,5371.0,C,A,3.0,D,B,2.0,B,28.0,B,B,2.0,B,1.0,A,B,B
D,18.0,B,G,1582.0,D,D,4.0,D,C,4.0,A,46.0,B,B,2.0,B,1.0,A,B,B
D,6.0,D,G,1346.0,A,D,2.0,D,C,4.0,C,42.0,A,A,1.0,B,2.0,B,B,B
D,10.0,D,G,1924.0,C,A,1.0,D,C,4.0,B,38.0,B,B,1.0,B,1.0,B,A,B
C,36.0,D,G,5848.0,C,A,4.0,D,C,1.0,A,24.0,B,B,1.0,B,1.0,A,B,B
A,24.0,B,J,7758.0,D,D,2.0,A,C,4.0,C,29.0,B,C,1.0,B,1.0,A,B,B
A,24.0,C,A,6967.0,A,B,4.0,D,C,4.0,A,36.0,B,C,1.0,A,1.0,B,B,B
B,12.0,D,D,1282.0,C,A,2.0,A,C,4.0,A,20.0,B,C,1.0,B,1.0,A,B,A
B,9.0,B,H,1288.0,A,D,3.0,D,B,4.0,D,48.0,B,B,2.0,B,2.0,A,A,B
B,12.0,A,I,339.0,C,D,4.0,C,C,1.0,A,45.0,A,B,1.0,D,1.0,A,B,B
A,24.0,D,E,3512.0,A,B,2.0,D,C,3.0,A,38.0,A,B,2.0,B,1.0,B,B,B
D,6.0,B,G,1898.0,E,A,1.0,D,C,2.0,D,34.0,B,B,2.0,D,2.0,A,B,B
D,24.0,B,G,2872.0,A,D,3.0,D,C,4.0,D,36.0,B,B,1.0,B,2.0,B,B,B
D,18.0,B,E,1055.0,C,C,4.0,A,C,1.0,B,30.0,B,B,2.0,B,1.0,A,B,B
D,15.0,D,B,1262.0,B,B,4.0,D,C,3.0,B,36.0,B,B,2.0,B,1.0,B,B,B
A,10.0,D,E,7308.0,C,E,2.0,D,C,4.0,C,70.0,A,A,1.0,A,1.0,B,B,B
D,36.0,D,E,909.0,B,D,4.0,D,C,4.0,B,36.0,B,B,1.0,B,1.0,A,B,B
D,6.0,D,D,2978.0,B,A,1.0,D,C,2.0,A,32.0,B,B,1.0,B,1.0,B,B,B
B,18.0,D,D,1131.0,C,E,4.0,A,C,2.0,A,33.0,B,B,1.0,B,1.0,A,B,A
A,11.0,D,D,1577.0,D,C,4.0,A,C,1.0,D,20.0,B,B,1.0,B,1.0,A,B,B
D,24.0,D,D,3972.0,C,B,2.0,A,C,4.0,B,25.0,B,C,1.0,B,1.0,B,B,B
A,24.0,B,A,1935.0,C,D,4.0,B,C,4.0,D,31.0,B,B,2.0,B,1.0,B,B,A
B,15.0,E,E,950.0,C,D,4.0,D,C,3.0,A,33.0,B,C,2.0,B,2.0,A,B,A
D,12.0,D,D,763.0,C,A,4.0,A,C,1.0,D,26.0,B,B,1.0,B,1.0,B,B,B
A,24.0,C,D,2064.0,C,E,3.0,A,C,2.0,B,34.0,B,B,1.0,A,1.0,B,B,A
A,8.0,D,G,1414.0,C,A,4.0,D,B,2.0,D,33.0,B,B,1.0,B,1.0,A,A,B
B,21.0,C,C,3414.0,C,C,2.0,D,C,1.0,B,26.0,B,B,2.0,B,1.0,A,B,A
D,30.0,A,J,7485.0,E,E,4.0,A,C,1.0,D,53.0,A,B,1.0,A,1.0,B,B,A
B,12.0,D,D,2577.0,C,A,2.0,B,C,1.0,A,42.0,B,B,1.0,B,1.0,A,B,B
B,6.0,B,G,338.0,B,D,4.0,D,C,4.0,A,52.0,B,B,2.0,B,1.0,A,B,B
D,12.0,D,G,1963.0,C,B,4.0,D,C,2.0,A,31.0,B,C,2.0,A,2.0,B,B,B
B,21.0,B,E,571.0,C,D,4.0,D,C,4.0,D,65.0,B,B,2.0,B,1.0,A,B,B
D,36.0,C,A,9572.0,C,C,1.0,B,C,1.0,A,28.0,B,B,2.0,B,1.0,A,B,A
A,36.0,C,A,4455.0,C,A,2.0,B,C,2.0,D,30.0,C,B,2.0,A,1.0,B,B,A
B,21.0,A,E,1647.0,E,A,4.0,D,C,2.0,B,40.0,B,B,2.0,D,2.0,A,B,A
D,24.0,B,D,3777.0,D,A,4.0,D,C,4.0,D,50.0,B,B,1.0,B,1.0,B,B,B
A,18.0,B,E,884.0,C,D,4.0,D,C,4.0,A,36.0,A,B,1.0,B,2.0,B,B,A
D,15.0,B,G,1360.0,C,A,4.0,D,C,2.0,B,31.0,B,B,2.0,B,1.0,A,B,B
A,9.0,A,J,5129.0,C,D,2.0,A,C,4.0,C,74.0,A,A,1.0,A,2.0,B,B,A
A,16.0,B,E,1175.0,C,E,2.0,D,C,3.0,A,68.0,B,A,3.0,C,1.0,B,B,B
B,12.0,D,G,674.0,A,B,4.0,C,C,1.0,B,20.0,B,B,1.0,B,1.0,A,B,A
A,18.0,E,D,3244.0,C,A,1.0,A,C,4.0,A,33.0,A,B,2.0,B,1.0,B,B,B
D,24.0,D,A,4591.0,D,A,2.0,D,C,3.0,B,54.0,B,B,3.0,A,1.0,B,B,A
A,48.0,E,A,3844.0,A,B,4.0,D,C,4.0,C,34.0,B,A,1.0,D,2.0,A,B,A
A,27.0,D,A,3915.0,C,A,4.0,D,C,2.0,A,36.0,B,B,1.0,B,2.0,B,B,A
D,6.0,D,G,2108.0,C,B,2.0,C,C,2.0,D,29.0,B,C,1.0,B,1.0,A,B,B
A,45.0,D,G,3031.0,A,A,4.0,D,B,4.0,B,21.0,B,C,1.0,B,1.0,A,B,A
A,9.0,B,C,1501.0,C,D,2.0,A,C,3.0,A,34.0,B,B,2.0,A,1.0,B,B,A
D,6.0,B,G,1382.0,C,A,1.0,A,C,1.0,A,28.0,B,B,2.0,B,1.0,B,B,B
A,12.0,D,D,951.0,A,C,4.0,A,C,4.0,A,27.0,A,C,4.0,B,1.0,A,B,A
A,24.0,D,J,2760.0,E,D,4.0,D,C,4.0,C,36.0,A,A,1.0,B,1.0,B,B,B
A,18.0,C,D,4297.0,C,D,4.0,B,C,3.0,C,40.0,B,B,1.0,A,1.0,B,B,A
D,9.0,B,C,936.0,B,D,4.0,D,C,2.0,A,52.0,B,B,2.0,B,1.0,B,B,B
B,12.0,D,E,1168.0,C,A,4.0,C,C,3.0,D,27.0,B,B,1.0,D,1.0,A,B,B
D,27.0,C,A,5117.0,C,B,3.0,D,C,4.0,A,26.0,B,B,2.0,B,1.0,A,B,B
B,12.0,D,I,902.0,C,B,4.0,C,C,4.0,B,21.0,B,C,1.0,B,1.0,A,B,A
D,12.0,B,E,1495.0,C,D,4.0,D,C,1.0,D,38.0,B,B,2.0,D,2.0,A,B,B
B,30.0,B,J,10623.0,C,D,3.0,D,C,4.0,C,38.0,B,A,3.0,A,2.0,B,B,B
D,12.0,B,D,1935.0,C,D,4.0,D,C,4.0,D,43.0,B,B,3.0,B,1.0,B,B,B
A,12.0,B,B,1424.0,C,B,4.0,D,C,3.0,B,26.0,B,B,1.0,B,1.0,A,B,B
B,24.0,D,A,6568.0,C,A,2.0,C,C,2.0,A,21.0,C,B,1.0,D,1.0,A,B,B
D,12.0,D,J,1413.0,D,B,3.0,D,C,2.0,B,55.0,B,B,1.0,B,1.0,A,A,B
D,9.0,B,G,3074.0,E,A,1.0,D,C,2.0,D,33.0,B,B,2.0,B,2.0,A,B,B
D,36.0,D,G,3835.0,E,D,2.0,A,C,4.0,D,45.0,B,B,1.0,D,1.0,B,B,B
B,27.0,E,A,5293.0,C,E,2.0,D,C,4.0,B,50.0,C,B,2.0,B,1.0,B,B,A
C,30.0,C,A,1908.0,C,D,4.0,D,C,4.0,D,66.0,B,B,1.0,A,1.0,B,B,A
D,36.0,B,G,3342.0,E,D,4.0,D,C,2.0,A,51.0,B,B,1.0,B,1.0,B,B,B
A,6.0,B,I,932.0,E,B,1.0,A,C,3.0,B,39.0,B,B,2.0,D,1.0,A,B,B
B,18.0,E,A,3104.0,C,B,3.0,D,C,1.0,B,31.0,A,B,1.0,B,1.0,B,B,B
C,36.0,D,G,3913.0,C,A,2.0,D,C,2.0,D,23.0,B,B,1.0,B,1.0,B,B,B
B,24.0,D,D,3021.0,C,A,2.0,B,C,2.0,D,24.0,B,C,1.0,D,1.0,A,B,B
D,10.0,D,E,1364.0,C,A,2.0,A,C,4.0,A,64.0,B,B,1.0,B,1.0,B,B,B
A,12.0,D,G,625.0,C,C,4.0,C,B,1.0,D,26.0,A,B,1.0,D,1.0,A,B,B
B,12.0,D,C,1200.0,E,A,4.0,A,C,4.0,B,23.0,A,C,1.0,B,1.0,B,B,B
D,12.0,D,G,707.0,C,A,4.0,D,C,2.0,D,30.0,A,B,2.0,B,1.0,A,B,B
D,24.0,C,A,2978.0,E,A,4.0,D,C,4.0,D,32.0,B,B,2.0,B,2.0,B,B,B
D,15.0,D,J,4657.0,C,A,3.0,D,C,2.0,A,30.0,B,B,1.0,B,1.0,B,B,B
D,36.0,E,H,2613.0,C,A,4.0,D,C,2.0,A,27.0,B,B,2.0,B,1.0,A,B,B
A,48.0,D,G,10961.0,D,B,1.0,D,A,2.0,C,27.0,A,B,2.0,B,1.0,B,B,A
B,12.0,D,D,7865.0,C,D,4.0,D,C,4.0,C,53.0,B,A,1.0,A,1.0,B,B,A
