@RELATION soybean

@ATTRIBUTE feature_01 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_02 {A, B, C}
@ATTRIBUTE feature_03 {A, B, C, D}
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C}
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 {A, B, C}
@ATTRIBUTE feature_17 {A, B, C}
@ATTRIBUTE feature_18 {A, B, C, D}
@ATTRIBUTE feature_19 {A, B, C}
@ATTRIBUTE feature_20 {A, B, C}
@ATTRIBUTE feature_21 {A, B, C, D, E}
@ATTRIBUTE feature_22 {A, B, C, D, E}
@ATTRIBUTE feature_23 {A, B, C}
@ATTRIBUTE feature_24 {A, B, C, D}
@ATTRIBUTE feature_25 {A, B, C}
@ATTRIBUTE feature_26 {A, B, C, D}
@ATTRIBUTE feature_27 {A, B, C}
@ATTRIBUTE feature_28 {A, B, C, D, E}
@ATTRIBUTE feature_29 {A, B, C, D, E}
@ATTRIBUTE feature_30 {A, B, C}
@ATTRIBUTE feature_31 {A, B, C}
@ATTRIBUTE feature_32 {A, B, C}
@ATTRIBUTE feature_33 {A, B, C}
@ATTRIBUTE feature_34 {A, B, C}
@ATTRIBUTE feature_35 {A, B, C, D}
@ATTRIBUTE class {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S}

@DATA
D,C,C,D,C,E,D,C,C,C,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
G,C,C,D,B,C,E,C,B,C,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
G,C,C,B,C,E,E,C,B,B,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
H,C,C,B,B,C,E,C,B,D,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
G,C,C,B,B,B,D,C,C,C,B,A,B,B,B,B,B,B,B,B,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
C,C,C,D,C,D,D,C,C,B,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
D,C,C,B,C,D,D,C,C,D,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
H,C,C,B,B,D,D,C,C,D,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
F,B,B,C,C,D,B,D,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,C,D,B,C,E,C,B,B,C,B,C,S
F,B,B,C,C,E,B,D,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
D,C,B,C,B,C,B,D,C,B,B,B,B,B,B,B,B,B,B,B,E,B,B,C,C,D,B,C,E,C,B,B,C,B,C,S
B,B,B,C,C,B,B,C,B,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
B,B,B,C,C,E,B,D,B,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
F,B,B,C,C,C,B,D,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
F,B,B,C,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
E,B,B,C,C,D,B,C,C,B,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
F,B,B,C,C,E,B,D,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
E,B,B,C,C,E,B,D,C,D,B,B,B,B,B,B,B,B,B,C,E,B,B,C,B,D,B,C,E,C,B,B,C,B,C,S
B,B,B,D,B,E,B,C,C,C,B,A,B,B,B,B,B,B,B,C,E,C,B,C,B,D,B,C,E,C,B,B,C,B,C,P
F,B,B,D,A,C,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,C,C,D,B,D,B,B,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
E,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,B,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
B,B,D,D,C,E,B,C,C,C,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
D,B,B,C,C,D,B,D,B,B,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
E,B,D,D,A,B,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,C,C,E,B,D,C,B,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
E,B,B,D,A,E,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
B,B,B,D,C,C,B,C,C,C,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
B,B,D,D,B,D,B,D,B,C,B,A,B,B,B,B,B,B,B,B,C,C,B,C,B,D,B,C,E,C,B,B,C,B,C,P
D,B,B,C,C,E,B,D,B,C,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
E,B,B,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
B,B,B,D,C,D,B,C,C,B,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
E,B,D,B,A,D,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,D,B,E,B,D,C,D,B,A,B,B,B,B,B,B,B,C,E,C,B,C,B,D,B,C,E,C,B,B,C,B,C,P
B,B,B,D,C,C,B,C,C,D,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
F,B,B,D,C,B,B,D,B,B,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
F,B,B,D,A,B,B,A,A,A,B,A,B,B,B,B,B,B,B,A,E,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,B,D,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,D,A,E,B,A,A,A,B,A,B,B,B,B,B,B,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,B,C,B,D,C,B,B,A,B,B,B,B,B,B,B,B,E,C,B,C,B,D,B,C,E,C,B,B,C,B,C,P
D,B,D,D,A,C,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,B,A,D,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,C,B,A,A,A,B,A,B,B,B,B,B,B,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,B,B,A,A,A,B,A,B,B,B,B,B,B,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,C,C,E,B,D,C,C,B,A,B,B,B,B,B,B,B,C,E,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
D,B,D,D,A,E,B,A,A,A,B,A,B,B,B,B,B,B,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,C,C,B,B,D,B,C,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
D,B,B,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,B,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,C,C,D,B,D,B,D,B,A,B,B,B,B,B,B,B,C,C,C,B,B,B,D,B,C,E,C,B,B,C,B,C,P
D,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
C,C,C,D,C,E,E,C,B,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,E,E,C,B,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
D,B,C,C,C,C,C,C,B,D,B,B,B,B,B,B,B,B,B,C,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,C,C,B,C,E,E,C,B,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,B,C,D,E,C,B,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,C,D,C,C,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,D,B,C,E,C,C,D,B,A,C,D,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
G,C,D,D,B,D,C,C,B,C,B,B,B,B,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,B,C,C,C,C,D,C,C,C,B,A,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,B,C,D,C,E,E,C,B,C,B,A,C,D,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,C,D,C,B,D,E,C,B,D,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,B,C,C,C,C,D,C,B,B,B,A,C,D,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,C,C,D,C,D,C,C,B,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
D,B,C,C,C,D,C,D,C,B,B,A,C,D,C,B,B,B,B,C,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,C,C,D,C,C,D,C,C,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,C,E,C,B,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,C,D,C,C,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,E,D,C,B,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,E,D,C,C,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
D,C,C,D,C,C,D,C,C,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,D,B,C,E,C,C,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
G,C,D,C,B,B,C,B,B,D,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
F,B,C,D,C,C,E,C,D,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
G,B,D,C,C,D,D,B,B,D,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
C,B,D,C,C,D,D,B,D,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
G,C,C,D,B,E,B,C,C,D,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
E,B,D,C,C,D,D,B,C,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
G,B,C,D,C,E,B,C,B,D,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
H,B,C,D,C,E,B,C,C,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
F,B,C,D,C,E,B,C,D,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
G,C,B,C,B,D,B,B,B,D,C,A,C,D,C,B,C,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
E,C,B,D,B,E,B,C,B,D,C,A,C,D,C,B,C,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
F,C,B,D,B,C,D,C,C,B,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
C,B,B,B,C,D,D,C,C,B,C,A,D,D,C,B,C,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
F,C,B,C,B,B,C,C,C,B,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
E,B,B,C,C,C,C,C,C,B,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
E,B,B,D,C,D,C,C,C,B,C,A,C,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
C,B,B,B,C,D,B,B,B,D,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
C,B,B,C,C,E,D,C,C,B,C,A,C,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
H,B,B,D,C,C,D,C,C,B,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
F,B,B,B,B,C,E,C,C,D,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,E,C,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,E,C,B,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,E,C,C,D,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,B,B,C,E,C,B,B,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,D,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
B,B,B,B,B,C,E,C,D,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,E,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,D,E,C,B,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
H,C,B,D,C,D,D,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,C,E,C,B,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,C,E,C,D,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
C,C,B,D,C,E,E,C,C,C,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,D,E,C,C,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
C,B,B,D,C,C,E,C,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,C,E,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
B,B,D,D,B,D,D,B,D,B,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,D,D,B,D,C,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,E,C,C,D,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,E,E,C,C,C,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,C,E,C,B,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,D,E,D,D,B,C,A,C,D,C,B,B,B,B,C,D,E,C,C,B,D,B,E,B,C,B,B,C,B,C,F
E,B,B,B,B,C,B,C,B,C,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,D,E,C,D,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,D,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
H,C,B,D,C,E,E,C,C,C,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
C,B,D,D,B,D,D,B,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,D,C,B,B,C,B,C,F
D,B,B,D,C,E,E,C,C,D,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,C,E,C,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
C,C,B,D,C,D,E,D,B,B,C,A,C,D,C,B,B,B,B,C,D,E,C,C,B,D,B,E,B,C,B,B,C,B,C,F
E,B,B,D,C,D,E,C,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,B,D,D,B,B,C,C,B,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,B,B,D,C,C,B,C,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,C,E,D,D,C,C,A,C,D,C,B,B,B,B,C,D,E,C,C,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,D,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,C,B,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,B,B,D,C,C,B,C,C,D,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
E,B,B,D,C,C,E,D,D,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
H,B,B,D,C,C,E,D,C,D,C,A,C,D,C,B,B,B,B,C,D,E,C,C,B,D,B,E,B,C,B,B,C,B,C,F
H,C,B,D,B,C,E,C,B,C,C,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,C,B,B,B,D,E,C,B,B,C,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
E,C,D,D,C,B,C,B,C,C,C,A,D,D,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,D,D,C,E,D,B,C,C,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,D,D,C,C,D,B,C,C,C,A,D,D,D,C,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,B,D,B,D,B,C,B,C,C,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,D,D,C,E,C,B,C,B,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,C,B,D,B,B,E,C,B,B,C,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
E,C,D,D,C,C,B,B,C,C,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,B,B,B,B,D,B,C,B,D,C,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
E,B,D,B,C,D,D,B,C,D,C,A,D,C,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,B,E
D,C,B,C,B,D,E,C,B,B,B,A,C,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,C,B,C,E
E,C,D,C,C,B,C,B,C,C,C,A,D,C,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,E
C,B,B,D,C,C,C,C,C,D,C,A,D,D,D,C,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,B,B,D,E
D,C,B,D,B,E,B,C,C,B,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,B,B,D,E
D,B,D,C,C,D,C,B,C,D,C,A,C,C,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,D,E
D,C,D,D,B,D,E,B,C,B,B,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,B,B,C,E
D,B,B,D,C,B,D,C,C,D,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,B,B,D,E
