@RELATION autos

@ATTRIBUTE feature_01 REAL
@ATTRIBUTE feature_02 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V}
@ATTRIBUTE feature_03 {A, B}
@ATTRIBUTE feature_04 {A, B}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C}
@ATTRIBUTE feature_08 {A, B}
@ATTRIBUTE feature_09 REAL
@ATTRIBUTE feature_10 REAL
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 REAL
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_15 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 REAL
@ATTRIBUTE feature_21 REAL
@ATTRIBUTE feature_22 REAL
@ATTRIBUTE feature_23 REAL
@ATTRIBUTE feature_24 REAL
@ATTRIBUTE feature_25 REAL
@ATTRIBUTE class {A, B, C, D, E, F}

@DATA
142.0,J,B,A,C,A,C,A,96.6,180.3,70.5,50.8,3685.0,F,A,234.0,F,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,35056.0,F
?,J,B,A,B,D,C,A,120.9,208.1,71.7,56.7,3900.0,F,A,308.0,F,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,40960.0,C
?,J,B,A,C,B,C,A,112.0,199.2,72.0,55.4,3715.0,F,A,304.0,F,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0,D
?,K,B,B,C,C,C,A,102.7,178.4,68.0,54.8,2910.0,D,C,140.0,F,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,D
161.0,L,B,A,C,C,B,A,93.7,157.3,64.4,50.8,1918.0,D,C,92.0,B,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5389.0,E
161.0,L,B,A,C,C,B,A,93.7,157.3,64.4,50.8,1944.0,D,C,92.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6189.0,E
161.0,L,B,A,C,C,B,A,93.7,157.3,64.4,50.8,2004.0,D,C,92.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6669.0,E
161.0,L,B,B,C,C,B,A,93.0,157.3,63.8,50.8,2145.0,D,C,98.0,G,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7689.0,D
153.0,L,B,B,C,C,B,A,96.3,173.0,65.4,49.4,2370.0,D,C,110.0,G,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9959.0,F
153.0,L,B,A,C,C,B,A,96.3,173.0,65.4,49.4,2328.0,D,C,122.0,B,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0,F
?,L,B,B,C,C,B,A,95.9,173.2,66.3,50.2,2833.0,D,C,156.0,G,3.58,3.86,7.0,145.0,5000.0,19.0,24.0,12629.0,F
?,L,B,B,C,C,B,A,95.9,173.2,66.3,50.2,2921.0,D,C,156.0,G,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14869.0,F
?,L,B,B,C,C,B,A,95.9,173.2,66.3,50.2,2926.0,D,C,156.0,G,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14489.0,F
125.0,L,B,A,B,D,B,A,96.3,172.4,65.4,51.6,2365.0,D,C,122.0,B,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0,D
125.0,L,B,A,B,D,B,A,96.3,172.4,65.4,51.6,2405.0,D,C,122.0,B,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8189.0,D
125.0,L,B,B,B,D,B,A,96.3,172.4,65.4,51.6,2403.0,D,C,110.0,G,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,D
137.0,L,B,A,B,D,B,A,96.3,172.4,65.4,51.6,2403.0,D,C,110.0,G,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,A
128.0,M,B,A,C,D,B,A,94.5,165.3,63.8,54.5,1889.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5499.0,D
128.0,M,A,A,C,D,B,A,94.5,165.3,63.8,54.5,2017.0,D,C,103.0,D,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,7099.0,D
128.0,M,B,A,C,D,B,A,94.5,165.3,63.8,54.5,1918.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6649.0,D
122.0,M,B,A,B,D,B,A,94.5,165.3,63.8,54.5,1938.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6849.0,D
103.0,M,B,A,B,E,B,A,94.5,170.2,63.8,53.5,2024.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7349.0,D
128.0,M,B,A,C,D,B,A,94.5,165.3,63.8,54.5,1951.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7299.0,D
128.0,M,B,A,C,C,B,A,94.5,165.6,63.8,53.3,2028.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0,D
122.0,M,B,A,B,D,B,A,94.5,165.3,63.8,54.5,1971.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7499.0,D
103.0,M,B,A,B,E,B,A,94.5,170.2,63.8,53.5,2037.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7999.0,D
168.0,M,B,A,C,B,B,A,95.1,162.4,63.8,53.3,2008.0,D,C,97.0,B,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0,E
106.0,M,B,A,B,C,B,A,97.2,173.4,65.2,54.7,2324.0,D,C,120.0,B,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0,C
106.0,M,B,A,B,D,B,A,97.2,173.4,65.2,54.7,2302.0,D,C,120.0,B,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,9549.0,C
128.0,M,B,A,B,D,B,A,100.4,181.7,66.5,55.1,3095.0,F,D,181.0,F,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,13499.0,C
108.0,M,B,A,B,E,B,A,100.4,184.6,66.5,56.1,3296.0,F,D,181.0,F,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,14399.0,C
108.0,M,B,A,B,D,B,A,100.4,184.6,66.5,55.1,3060.0,F,D,181.0,F,3.43,3.27,9.0,152.0,5200.0,19.0,25.0,13499.0,C
194.0,M,B,A,C,C,C,A,91.3,170.7,67.9,49.7,3071.0,F,D,181.0,F,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,17199.0,F
194.0,M,B,B,C,C,C,A,91.3,170.7,67.9,49.7,3139.0,F,D,181.0,F,3.43,3.27,7.8,200.0,5200.0,17.0,23.0,19699.0,F
231.0,M,B,A,C,C,C,A,99.2,178.5,67.9,49.7,3139.0,F,D,181.0,F,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,18399.0,D
161.0,N,B,A,B,D,C,A,107.9,186.7,68.4,56.7,3020.0,C,C,120.0,F,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,11900.0,C
161.0,N,A,B,B,D,C,A,107.9,186.7,68.4,56.7,3197.0,C,C,152.0,D,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,13200.0,C
?,N,B,A,B,E,C,A,114.2,198.9,68.4,58.7,3230.0,C,C,120.0,F,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,12440.0,C
?,N,A,B,B,E,C,A,114.2,198.9,68.4,58.7,3430.0,C,C,152.0,D,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,13860.0,C
161.0,N,B,A,B,D,C,A,107.9,186.7,68.4,56.7,3075.0,C,C,120.0,F,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,15580.0,C
161.0,N,A,B,B,D,C,A,107.9,186.7,68.4,56.7,3252.0,C,C,152.0,D,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,16900.0,C
?,N,B,A,B,E,C,A,114.2,198.9,68.4,56.7,3285.0,C,C,120.0,F,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,16695.0,C
?,N,A,B,B,E,C,A,114.2,198.9,68.4,58.7,3485.0,C,C,152.0,D,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,17075.0,C
161.0,N,B,A,B,D,C,A,107.9,186.7,68.4,56.7,3075.0,C,C,120.0,F,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,16630.0,C
161.0,N,A,B,B,D,C,A,107.9,186.7,68.4,56.7,3252.0,C,C,152.0,D,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,17950.0,C
161.0,N,B,B,B,D,C,A,108.0,186.7,68.3,56.0,3130.0,C,C,134.0,F,3.61,3.21,7.0,142.0,5600.0,18.0,24.0,18150.0,C
119.0,O,B,A,C,C,B,A,93.7,157.3,63.8,50.8,1918.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5572.0,D
119.0,O,B,B,C,C,B,A,93.7,157.3,63.8,50.8,2128.0,D,C,98.0,G,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,D
154.0,O,B,A,B,C,B,A,93.7,157.3,63.8,50.6,1967.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,D
154.0,O,B,A,B,D,B,A,93.7,167.3,63.8,50.8,1989.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,D
154.0,O,B,A,B,D,B,A,93.7,167.3,63.8,50.8,2191.0,D,C,98.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,D
74.0,O,B,A,B,E,B,A,103.3,174.6,64.6,59.8,2535.0,D,C,122.0,B,3.35,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,A
?,O,B,B,C,C,C,A,95.9,173.2,66.3,50.2,2818.0,D,C,156.0,G,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,12764.0,F
186.0,P,B,A,C,C,C,A,94.5,168.9,68.3,50.2,2778.0,D,C,151.0,F,3.94,3.11,9.5,143.0,5500.0,19.0,27.0,22018.0,F
?,P,B,A,C,B,C,B,89.5,168.9,65.0,51.6,2756.0,E,D,194.0,F,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,32528.0,F
?,P,B,A,C,B,C,B,89.5,168.9,65.0,51.6,2756.0,E,D,194.0,F,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,34028.0,F
?,P,B,A,C,A,C,B,89.5,168.9,65.0,51.6,2800.0,E,D,194.0,F,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,37028.0,F
?,P,B,A,C,C,C,A,98.4,175.7,72.3,50.5,3366.0,B,A,203.0,F,3.94,3.11,10.0,288.0,5750.0,17.0,28.0,?,D
?,Q,B,A,B,E,B,A,96.1,181.5,66.5,55.2,2579.0,D,C,132.0,F,3.46,3.9,8.7,?,?,23.0,31.0,9295.0,C
?,Q,B,A,C,C,B,A,96.1,176.8,66.6,50.5,2460.0,D,C,132.0,F,3.46,3.9,8.7,?,?,23.0,31.0,9895.0,E
150.0,R,B,A,C,C,B,A,99.1,186.6,66.5,56.1,2658.0,D,C,121.0,F,3.54,3.07,9.31,110.0,5250.0,21.0,28.0,11850.0,F
104.0,R,B,A,B,D,B,A,99.1,186.6,66.5,56.1,2695.0,D,C,121.0,F,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,12170.0,E
150.0,R,B,A,C,C,B,A,99.1,186.6,66.5,56.1,2707.0,D,C,121.0,F,2.54,2.07,9.3,110.0,5250.0,21.0,28.0,15040.0,F
104.0,R,B,A,B,D,B,A,99.1,186.6,66.5,56.1,2758.0,D,C,121.0,F,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,15510.0,E
150.0,R,B,B,C,C,B,A,99.1,186.6,66.5,56.1,2808.0,A,C,121.0,F,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18150.0,F
104.0,R,B,B,B,D,B,A,99.1,186.6,66.5,56.1,2847.0,A,C,121.0,F,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18620.0,E
83.0,S,B,A,C,C,B,A,93.7,156.9,63.4,53.7,2050.0,E,C,97.0,B,3.62,2.36,9.0,69.0,4900.0,31.0,36.0,5118.0,E
83.0,S,B,A,C,C,B,A,93.7,157.9,63.6,53.7,2120.0,E,C,108.0,B,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7053.0,E
83.0,S,B,A,C,C,A,A,93.3,157.3,63.8,55.7,2240.0,E,C,108.0,B,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7603.0,E
102.0,S,B,A,B,D,B,A,97.2,172.0,65.4,52.5,2145.0,E,C,108.0,B,3.62,2.64,9.5,82.0,4800.0,32.0,37.0,7126.0,C
102.0,S,B,A,B,D,B,A,97.2,172.0,65.4,52.5,2190.0,E,C,108.0,B,3.62,2.64,9.5,82.0,4400.0,28.0,33.0,7775.0,C
102.0,S,B,A,B,D,B,A,97.2,172.0,65.4,52.5,2340.0,E,C,108.0,F,3.62,2.64,9.0,94.0,5200.0,26.0,32.0,9960.0,C
102.0,S,B,A,B,D,A,A,97.0,172.0,65.4,54.3,2385.0,E,C,108.0,B,3.62,2.64,9.0,82.0,4800.0,24.0,25.0,9233.0,C
102.0,S,B,B,B,D,A,A,97.0,172.0,65.4,54.3,2510.0,E,C,108.0,F,3.62,2.64,7.7,111.0,4800.0,24.0,29.0,11259.0,C
89.0,S,B,A,B,E,B,A,97.0,173.5,65.4,53.0,2290.0,E,C,108.0,B,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,7463.0,C
89.0,S,B,A,B,E,B,A,97.0,173.5,65.4,53.0,2455.0,E,C,108.0,F,3.62,2.64,9.0,94.0,5200.0,25.0,31.0,10198.0,C
85.0,S,B,A,B,E,A,A,96.9,173.6,65.4,54.9,2420.0,E,C,108.0,B,3.62,2.64,9.0,82.0,4800.0,23.0,29.0,8013.0,C
85.0,S,B,B,B,E,A,A,96.9,173.6,65.4,54.9,2650.0,E,C,108.0,F,3.62,2.64,7.7,111.0,4800.0,23.0,23.0,11694.0,C
87.0,T,B,A,C,C,B,A,95.7,158.7,63.6,54.5,1985.0,D,C,92.0,B,3.05,3.03,9.0,62.0,4800.0,35.0,39.0,5348.0,D
