@RELATION horse-colic-orig

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV, CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF, DG, DH, DI, DJ, DK, DL, DM, DN, DO, DP, DQ, DR, DS, DT, DU, DV, DW, DX, DY, DZ, EA, EB, EC, ED, EE, EF, EG, EH, EI, EJ, EK, EL, EM, EN, EO, EP, EQ, ER, ES, ET, EU, EV, EW, EX, EY, EZ, FA, FB, FC, FD, FE, FF, FG, FH, FI, FJ, FK, FL, FM, FN, FO, FP, FQ, FR, FS, FT, FU, FV, FW, FX, FY, FZ, GA, GB, GC, GD, GE, GF, GG, GH, GI, GJ, GK, GL, GM, GN, GO, GP, GQ, GR, GS, GT, GU, GV, GW, GX, GY, GZ, HA, HB, HC, HD, HE, HF, HG, HH, HI, HJ, HK, HL, HM, HN, HO, HP, HQ, HR, HS, HT, HU, HV, HW, HX, HY, HZ, IA, IB, IC, ID, IE, IF, IG, IH, II, IJ, IK, IL, IM, IN, IO, IP, IQ, IR, IS, IT, IU, IV, IW, IX, IY, IZ, JA, JB, JC, JD, JE, JF, JG, JH, JI, JJ, JK, JL, JM, JN, JO, JP, JQ, JR, JS, JT, JU, JV, JW, JX, JY, JZ, KA, KB, KC, KD, KE, KF, KG, KH, KI, KJ, KK, KL, KM, KN, KO, KP, KQ, KR, KS, KT, KU, KV, KW, KX, KY, KZ, LA, LB, LC, LD, LE, LF, LG, LH, LI, LJ, LK, LL, LM, LN, LO, LP, LQ, LR, LS, LT, LU, LV, LW, LX, LY, LZ, MA, MB, MC, MD, ME, MF, MG, MH, MI, MJ, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY}
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 INTEGER
@ATTRIBUTE feature_06 INTEGER
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D, E}
@ATTRIBUTE feature_09 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C, D, E, F}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C, D, E}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D, E}
@ATTRIBUTE feature_18 {A, B, C, D, E, F}
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 REAL
@ATTRIBUTE feature_21 {A, B, C, D}
@ATTRIBUTE feature_22 REAL
@ATTRIBUTE feature_23 {A, B, C, D}
@ATTRIBUTE feature_24 {A, B}
@ATTRIBUTE feature_25 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK}
@ATTRIBUTE feature_26 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_27 {A, B}
@ATTRIBUTE class {A, B}

@DATA
C,A,MY,37.7,48,?,C,B,B,B,B,B,B,B,B,?,A,A,45.0,76.0,A,?,B,B,AA,A,A,B
C,A,FG,37.7,96,30,D,D,E,C,F,E,E,D,C,4.0,E,F,66.0,7.5,A,?,C,A,BO,A,A,B
C,A,HM,37.2,108,12,D,D,E,C,C,E,C,A,D,6.0,D,D,52.0,8.2,D,7.4,D,A,AP,A,A,A
B,A,FB,37.2,60,?,C,B,B,B,D,D,D,C,B,?,E,F,43.0,6.6,A,?,B,A,AR,A,A,B
B,A,FV,38.2,64,28,B,B,B,B,D,B,A,A,A,?,E,E,49.0,8.6,C,6.6,B,A,AQ,A,A,A
B,A,GI,?,100,30,D,D,E,C,F,E,E,D,D,?,E,E,52.0,6.6,A,?,B,A,AD,A,A,B
C,A,DQ,?,104,24,E,D,D,C,E,E,D,A,D,?,A,C,73.0,8.4,A,?,D,A,CC,A,A,B
C,A,FJ,38.3,112,16,A,D,F,C,A,A,B,B,C,?,A,F,51.0,6.0,C,1.0,D,B,BW,A,A,A
B,A,JH,37.8,72,?,A,D,A,B,F,D,B,A,B,?,B,B,56.0,80.0,B,2.0,B,A,AX,A,A,B
C,A,EC,38.6,52,?,B,B,B,B,D,D,C,B,B,?,B,D,32.0,6.6,B,5.0,B,B,AA,A,A,A
B,B,BC,39.2,146,96,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,C,A,AL,A,A,B
B,A,FK,?,88,?,D,D,G,C,F,D,D,B,D,?,E,F,63.0,6.5,D,?,C,A,BO,A,A,B
C,B,DR,39.0,150,72,A,A,A,A,A,A,A,A,A,?,A,A,47.0,8.5,A,0.1,B,A,CK,A,A,A
C,A,HT,38.0,60,12,D,B,D,B,D,D,B,B,B,?,C,C,47.0,7.0,A,?,B,B,AX,A,A,B
B,A,JV,?,120,?,D,E,E,B,E,E,E,B,B,?,A,F,52.0,67.0,C,2.0,D,A,BE,A,A,B
B,A,MX,35.4,140,24,D,D,E,C,E,E,A,C,B,?,A,F,57.0,69.0,D,2.0,D,A,BE,A,A,B
C,A,GL,?,120,?,E,D,E,C,F,E,E,B,B,?,E,F,60.0,6.5,D,?,C,A,BE,A,A,B
B,A,GP,37.9,60,15,D,A,E,C,F,E,E,C,C,?,E,F,65.0,7.5,A,?,B,A,AT,A,A,A
C,A,GK,37.5,48,16,B,B,B,B,B,B,B,B,B,?,B,A,37.0,6.5,A,?,B,B,AA,A,A,B
B,A,DT,38.9,80,44,D,D,D,C,C,D,D,C,C,7.0,D,B,54.0,6.5,D,?,C,A,CC,A,A,B
C,A,FU,37.2,84,48,D,D,F,C,E,B,C,B,C,?,C,B,73.0,5.5,C,4.1,C,B,BR,A,A,A
C,A,GG,38.6,46,?,B,B,C,B,B,D,C,B,B,?,A,C,49.0,9.1,B,1.6,B,B,AX,A,A,A
B,A,AZ,37.4,84,36,B,A,D,C,D,D,C,A,A,?,E,F,?,?,D,?,C,A,CE,A,A,A
C,A,FI,?,?,?,B,B,D,B,B,D,B,A,A,?,C,C,43.0,7.7,A,?,B,B,AX,A,A,B
C,A,IL,38.6,40,20,A,A,A,B,A,A,A,A,A,?,A,A,41.0,6.4,A,?,B,B,AX,A,A,A
C,A,FF,40.3,114,36,D,D,B,C,C,D,D,C,B,7.0,B,F,57.0,8.1,D,4.5,D,A,CF,A,A,A
B,B,CI,38.6,160,20,D,A,F,B,D,D,E,D,A,?,E,A,38.0,?,C,?,C,A,CC,A,A,A
B,A,DS,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,24.0,6.7,A,?,B,A,AZ,A,A,B
B,A,FT,?,64,36,C,A,C,B,F,D,D,C,C,?,A,A,42.0,7.7,A,?,C,A,BG,A,A,B
B,A,CJ,?,?,20,E,D,D,A,F,E,D,C,A,?,E,E,53.0,5.9,D,?,C,A,BE,A,A,A
C,A,DU,?,96,?,D,D,D,C,F,E,E,B,C,?,E,F,60.0,?,A,?,C,A,BO,A,A,B
C,A,IF,37.8,48,32,B,B,D,B,C,B,A,B,B,?,E,F,37.0,6.7,A,?,B,B,AM,A,A,B
C,A,BP,38.5,60,?,C,C,B,B,B,C,C,C,B,?,B,B,44.0,7.7,A,?,B,B,AA,A,A,B
B,A,DC,37.8,88,22,C,B,C,B,D,A,A,C,A,?,E,A,64.0,8.0,B,6.0,C,A,BE,A,A,A
C,A,KJ,38.2,130,16,E,D,E,C,C,E,E,B,B,?,A,A,65.0,82.0,C,2.0,D,B,AR,B,A,B
B,A,FW,39.0,64,36,D,B,E,C,D,D,C,B,C,7.0,E,F,44.0,7.5,D,5.0,B,A,AL,A,A,A
B,A,LO,?,60,36,D,B,D,B,D,D,C,B,B,?,D,E,26.0,72.0,C,1.0,B,A,AQ,A,A,B
C,A,LH,37.9,72,?,B,B,F,C,D,D,B,B,D,2.0,D,E,58.0,74.0,B,2.0,B,A,AU,A,A,B
C,A,DX,38.4,54,24,B,B,B,B,B,D,B,C,B,?,D,C,49.0,7.2,B,?,B,B,AX,A,A,A
C,A,GH,?,52,16,B,A,D,B,A,A,A,C,D,5.5,A,A,55.0,7.2,A,?,B,B,AM,A,A,B
C,A,HQ,38.0,48,12,B,B,B,B,B,D,A,B,B,?,D,C,42.0,6.3,C,4.1,B,B,AX,A,A,A
C,A,CE,37.0,60,20,D,A,A,B,D,A,D,C,C,4.5,E,E,43.0,7.6,A,?,D,A,AR,A,A,A
B,A,FA,37.8,48,28,B,B,B,B,B,C,B,C,A,?,B,B,46.0,5.9,C,7.0,B,B,AA,A,A,A
B,A,GT,37.7,56,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,C,A,AL,A,A,B
B,A,CU,38.1,52,24,B,B,F,B,E,D,B,C,D,7.0,B,A,54.0,7.5,C,2.6,C,A,AK,A,A,A
B,B,ES,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,37.0,4.9,A,?,C,A,AC,A,A,B
B,B,JX,39.7,100,?,D,D,F,C,C,D,A,A,A,?,A,A,48.0,57.0,C,2.0,D,A,AH,A,A,B
B,A,KX,37.6,38,20,D,D,B,B,D,D,C,A,A,?,D,A,37.0,68.0,A,?,B,A,BE,A,A,B
C,A,LE,38.7,52,20,C,A,B,B,B,B,B,B,B,?,B,B,33.0,77.0,A,?,B,B,AA,A,A,B
B,A,IS,?,?,?,D,D,D,D,F,D,D,D,C,?,E,F,46.0,5.9,A,?,C,A,AW,A,A,B
B,A,AL,37.5,96,18,B,D,G,C,D,E,C,C,D,5.0,A,E,69.0,8.9,D,?,B,A,AQ,A,A,A
B,A,AP,36.4,98,35,D,D,E,B,E,D,C,A,A,?,E,E,47.0,6.4,D,3.6,C,A,AN,A,A,A
B,A,LF,37.3,40,?,A,D,B,B,C,D,C,D,B,?,D,F,36.0,?,D,2.0,B,A,AX,A,A,B
B,B,EH,38.1,100,80,D,B,C,B,D,E,B,A,A,?,B,A,36.0,5.7,A,?,B,A,AX,A,A,B
B,A,BQ,38.0,?,24,D,D,G,C,F,A,E,B,B,?,A,A,68.0,7.8,A,?,C,A,BE,A,A,B
B,A,GN,37.8,60,80,B,D,C,C,C,D,D,A,C,5.5,E,A,40.0,4.5,C,?,B,A,BX,A,A,A
C,A,EU,38.0,54,30,C,D,D,D,D,B,C,C,C,?,A,E,45.0,6.2,A,?,B,B,BJ,A,A,B
B,A,EY,?,88,40,D,D,E,C,F,E,D,D,A,?,E,F,50.0,7.7,D,1.4,C,A,BO,A,A,A
C,A,BR,?,40,16,A,A,A,B,A,A,A,A,A,?,A,A,50.0,7.0,C,3.9,D,A,AQ,A,A,A
C,A,FZ,39.0,64,40,B,B,F,B,D,D,C,C,B,?,D,D,42.0,7.5,C,2.3,B,B,BS,A,A,A
C,A,MV,38.3,42,10,B,B,B,B,B,B,B,A,A,?,A,A,38.0,61.0,A,?,B,B,AA,A,A,B
C,A,KG,38.0,52,16,A,A,A,A,C,A,A,A,D,1.0,B,B,53.0,86.0,A,?,B,A,AU,A,A,B
C,A,FF,40.3,114,36,D,D,B,C,C,D,D,C,B,7.0,B,F,57.0,8.1,D,4.5,C,A,BE,A,A,A
C,A,HN,38.8,50,20,D,B,B,B,B,B,B,C,B,?,D,B,42.0,6.2,A,?,B,B,AA,A,A,B
C,A,HU,?,?,?,D,D,B,B,F,D,D,B,B,?,E,F,38.0,6.5,A,?,C,A,BE,A,A,B
C,A,DL,37.5,48,30,E,B,D,B,A,C,B,B,B,?,B,B,48.0,8.6,A,?,B,B,AA,A,A,B
B,A,MG,37.3,48,20,A,B,C,B,D,D,D,C,B,?,D,F,41.0,69.0,A,?,B,A,BE,A,A,B
C,A,HV,?,84,36,A,A,D,B,A,D,B,C,B,?,D,C,44.0,8.5,A,?,B,A,AX,A,A,B
B,A,KB,38.1,88,32,D,D,E,B,C,D,D,A,D,1.0,E,F,55.0,60.0,A,?,D,B,BE,A,A,B
C,A,KA,37.7,44,40,C,B,D,B,B,D,C,B,B,?,B,F,41.0,60.0,A,?,B,B,AA,A,A,B
C,A,HA,39.6,108,51,D,D,G,C,C,E,D,B,C,?,D,F,59.0,8.0,C,2.6,B,B,BR,A,A,A
B,A,MU,38.2,40,16,D,D,B,B,B,D,A,A,A,?,B,B,34.0,66.0,A,?,B,B,AA,A,A,B
B,A,LQ,?,60,20,E,D,E,C,F,E,A,A,B,?,E,F,?,?,A,?,D,A,BE,A,A,B
C,A,LW,38.3,40,16,D,A,B,B,C,A,A,A,A,?,A,A,37.0,57.0,A,?,B,B,AA,A,A,B
B,B,EQ,38.0,140,68,B,B,B,B,D,D,C,A,A,?,C,B,39.0,5.3,A,?,B,A,CC,A,A,B
B,A,AT,37.8,52,24,B,D,D,B,E,E,B,C,D,5.7,C,F,48.0,6.6,B,3.7,C,A,BY,A,A,B
B,A,IA,?,70,36,B,A,D,C,C,D,C,C,A,?,E,F,36.0,7.3,A,?,B,A,AY,A,A,B
B,A,DG,38.3,52,96,A,D,D,B,A,A,A,B,B,?,B,A,43.0,6.1,A,?,B,A,BG,A,A,A
C,A,GE,37.3,50,32,B,B,D,B,B,D,C,A,A,?,B,A,44.0,7.0,A,?,B,B,AA,A,A,B
B,A,IY,38.7,60,32,E,D,C,C,E,E,E,A,A,?,E,F,53.0,64.0,D,2.0,D,A,BE,A,A,B
B,B,GD,38.4,84,40,D,D,C,B,D,D,D,B,B,?,A,A,36.0,6.6,C,2.8,C,A,AN,A,A,A
B,A,AS,?,70,16,D,E,F,C,C,D,C,C,B,?,E,F,60.0,7.5,A,?,C,A,AK,A,A,B
B,A,JB,38.3,40,16,D,A,A,B,B,D,C,A,A,?,A,A,38.0,58.0,B,2.0,B,A,AX,H,A,B
B,A,LX,?,40,?,C,B,B,B,B,D,B,B,B,?,A,F,39.0,56.0,A,?,B,A,AX,A,A,B
B,A,BL,36.8,60,28,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,10.0,C,A,BE,A,A,A
B,A,IV,38.4,44,24,D,A,E,A,F,E,D,C,B,?,E,F,50.0,77.0,A,?,B,A,BE,A,A,B
C,A,JA,?,?,40,D,B,B,B,D,D,C,A,A,?,A,A,45.0,70.0,A,?,B,B,AA,A,A,B
B,A,ML,38.0,44,12,B,B,B,B,D,D,D,C,B,?,E,F,42.0,65.0,A,?,B,A,BE,D,A,B
C,A,EG,39.5,?,?,D,D,E,C,D,E,D,A,D,5.5,E,F,?,6.7,B,?,D,A,BO,A,A,B
B,A,JS,36.5,78,30,B,A,B,B,F,D,B,A,B,?,A,A,34.0,75.0,C,1.0,B,A,AZ,G,A,B
C,A,MI,38.1,56,20,C,B,C,B,B,D,B,B,B,?,A,A,46.0,70.0,A,?,B,B,AA,A,A,B
B,A,DH,39.4,54,66,B,B,C,B,C,D,C,B,B,?,D,E,39.0,6.0,C,?,B,A,AO,A,A,A
B,A,KT,38.3,80,40,A,A,G,C,E,D,B,A,C,?,B,E,67.0,10.2,C,1.0,D,A,AQ,A,A,B
C,A,KV,38.7,40,28,C,B,B,B,D,B,B,A,A,?,B,A,39.0,62.0,B,1.0,B,B,AA,A,A,B
B,A,HY,38.2,64,24,B,B,D,B,E,E,D,C,B,?,E,E,45.0,7.5,B,2.0,C,A,BE,A,A,A
C,A,GM,37.6,48,20,D,B,E,B,B,B,D,C,B,?,B,B,37.0,5.5,A,?,D,A,AN,A,A,B
B,A,CT,38.0,42,68,E,B,B,B,D,D,C,C,C,?,E,E,41.0,7.6,A,?,B,A,AN,A,A,B
B,A,IB,38.7,?,?,D,B,D,B,F,E,C,A,A,?,A,A,33.0,6.5,C,?,B,A,AY,A,A,B
B,A,AH,37.4,50,32,D,D,A,B,E,E,B,C,B,?,B,A,45.0,7.9,C,1.0,B,A,AQ,A,A,A
B,A,MR,37.4,84,20,A,A,D,B,C,D,D,A,A,?,A,A,31.0,61.0,A,1.0,D,B,AQ,A,A,B
B,A,AX,38.4,49,?,A,A,B,B,A,A,B,C,B,?,A,A,44.0,7.6,A,?,B,A,AO,A,A,B
B,A,EA,37.8,30,12,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,C,A,AL,A,A,B
C,A,IR,37.6,88,36,D,B,B,B,D,D,C,B,D,1.5,A,A,44.0,6.0,A,?,C,A,AH,A,A,B
A,A,KU,38.0,48,20,D,B,D,B,E,D,B,C,B,?,D,F,43.0,73.0,C,1.0,A,A,AX,A,A,B
C,A,HR,37.9,40,24,B,B,B,B,C,D,B,A,A,?,A,D,40.0,5.7,A,?,B,A,BJ,A,A,B
B,A,AR,?,100,?,D,A,E,C,F,E,A,C,A,?,C,A,59.0,6.3,A,?,C,A,BO,A,A,B
B,B,DJ,38.1,136,48,D,D,D,B,F,B,D,C,C,4.4,C,A,33.0,4.9,C,2.9,C,A,AN,A,A,A
B,A,IS,?,?,?,D,D,D,C,F,D,D,D,C,?,E,F,46.0,5.9,A,?,C,A,AW,A,A,B
B,A,KK,38.0,48,?,B,B,B,B,B,C,E,C,C,?,E,F,?,?,A,?,B,A,AX,A,A,B
C,A,IV,38.0,56,?,B,C,D,B,B,B,B,B,B,?,B,B,42.0,71.0,A,?,B,B,AA,A,A,B
C,A,KP,38.0,60,32,B,B,A,B,D,D,A,B,B,?,A,A,50.0,7.0,B,1.0,B,B,AA,A,A,B
B,A,GV,38.1,44,9,D,B,B,B,C,C,B,B,B,?,E,F,31.0,7.3,A,?,B,B,BV,A,A,B
C,A,AE,36.0,42,30,A,A,F,B,A,A,A,A,A,?,A,A,64.0,6.8,A,?,C,B,AH,A,A,B
B,A,ID,?,120,?,E,D,G,C,F,E,E,A,A,?,E,F,57.0,4.5,D,3.9,C,A,BE,A,A,A
B,A,FA,37.8,48,28,B,B,B,C,B,C,B,C,A,?,B,B,46.0,5.9,C,7.0,B,B,AA,A,A,A
B,A,KR,37.1,84,40,D,D,G,B,C,E,E,D,C,2.0,E,F,75.0,81.0,A,?,D,B,AH,A,A,B
C,A,MN,?,80,32,D,D,C,B,C,D,D,C,B,?,D,A,50.0,80.0,A,?,B,A,AA,A,A,B
B,A,JZ,38.2,48,?,B,D,D,B,D,E,E,B,D,2.0,E,F,42.0,71.0,A,?,B,A,AX,A,A,B
C,A,GZ,38.0,44,12,C,B,D,B,D,E,D,B,C,6.5,B,E,33.0,6.5,A,?,C,A,AR,A,A,B
B,A,ER,38.3,132,?,A,D,G,C,C,E,C,C,D,6.2,E,E,57.0,8.0,A,5.2,B,A,AK,A,A,A
C,A,MQ,38.7,48,24,A,A,A,A,B,B,A,B,B,?,B,A,34.0,63.0,A,?,B,B,AA,A,A,B
C,A,JE,38.9,44,14,D,B,B,B,C,D,C,A,A,?,A,C,33.0,64.0,A,?,B,B,AA,A,A,B
B,A,EZ,39.3,?,?,E,D,G,C,E,E,C,B,D,4.0,E,E,75.0,?,D,4.3,C,A,AP,A,A,A
B,A,JG,?,100,?,D,D,E,C,A,E,E,C,B,2.0,A,A,68.0,64.0,D,2.0,B,A,AR,A,A,B
C,A,DP,38.6,48,20,D,B,B,B,B,D,C,C,B,?,D,C,50.0,7.3,B,?,B,B,AX,A,A,A
C,A,MH,38.8,48,40,B,B,D,B,D,D,E,C,A,?,A,F,41.0,65.0,A,?,B,A,BN,A,A,B
C,A,CF,38.0,48,20,D,D,E,B,B,E,C,C,A,5.0,A,C,49.0,8.3,B,?,B,B,BJ,A,A,A
C,A,EC,38.6,52,20,B,B,B,B,D,D,C,B,B,?,B,D,36.0,6.6,B,5.0,B,B,AA,A,A,A
