@RELATION balance-scale

@ATTRIBUTE feature_01 REAL
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE class {A, B, C}

@DATA
2.0,1.0,5.0,5.0,C
2.0,2.0,1.0,1.0,B
2.0,2.0,1.0,2.0,B
2.0,2.0,1.0,3.0,B
2.0,2.0,1.0,4.0,A
2.0,2.0,1.0,5.0,C
2.0,2.0,2.0,1.0,B
2.0,2.0,2.0,2.0,A
2.0,2.0,2.0,3.0,C
2.0,2.0,2.0,4.0,C
2.0,2.0,2.0,5.0,C
2.0,2.0,3.0,1.0,B
2.0,2.0,3.0,2.0,C
2.0,2.0,3.0,3.0,C
2.0,2.0,3.0,4.0,C
2.0,2.0,3.0,5.0,C
2.0,2.0,4.0,1.0,A
2.0,2.0,4.0,2.0,C
2.0,2.0,4.0,3.0,C
2.0,2.0,4.0,4.0,C
2.0,2.0,4.0,5.0,C
2.0,2.0,5.0,1.0,C
2.0,2.0,5.0,2.0,C
2.0,2.0,5.0,3.0,C
2.0,2.0,5.0,4.0,C
2.0,2.0,5.0,5.0,C
2.0,3.0,1.0,1.0,B
2.0,3.0,1.0,2.0,B
2.0,3.0,1.0,3.0,B
2.0,3.0,1.0,4.0,B
2.0,3.0,1.0,5.0,B
2.0,3.0,2.0,1.0,B
2.0,3.0,2.0,2.0,B
2.0,3.0,2.0,3.0,A
2.0,3.0,2.0,4.0,C
2.0,3.0,2.0,5.0,C
2.0,3.0,3.0,1.0,B
2.0,3.0,3.0,2.0,A
2.0,3.0,3.0,3.0,C
2.0,3.0,3.0,4.0,C
2.0,3.0,3.0,5.0,C
2.0,3.0,4.0,1.0,B
2.0,3.0,4.0,2.0,C
2.0,3.0,4.0,3.0,C
2.0,3.0,4.0,4.0,C
2.0,3.0,4.0,5.0,C
2.0,3.0,5.0,1.0,B
2.0,3.0,5.0,2.0,C
2.0,3.0,5.0,3.0,C
2.0,3.0,5.0,4.0,C
2.0,3.0,5.0,5.0,C
2.0,4.0,1.0,1.0,B
2.0,4.0,1.0,2.0,B
2.0,4.0,1.0,3.0,B
2.0,4.0,1.0,4.0,B
2.0,4.0,1.0,5.0,B
2.0,4.0,2.0,1.0,B
2.0,4.0,2.0,2.0,B
2.0,4.0,2.0,3.0,B
2.0,4.0,2.0,4.0,A
2.0,4.0,2.0,5.0,C
2.0,4.0,3.0,1.0,B
2.0,4.0,3.0,2.0,B
2.0,4.0,3.0,3.0,C
2.0,4.0,3.0,4.0,C
2.0,4.0,3.0,5.0,C
2.0,4.0,4.0,1.0,B
2.0,4.0,4.0,2.0,A
2.0,4.0,4.0,3.0,C
2.0,4.0,4.0,4.0,C
2.0,4.0,4.0,5.0,C
2.0,4.0,5.0,1.0,B
2.0,4.0,5.0,2.0,C
2.0,4.0,5.0,3.0,C
2.0,4.0,5.0,4.0,C
2.0,4.0,5.0,5.0,C
2.0,5.0,1.0,1.0,B
2.0,5.0,1.0,2.0,B
2.0,5.0,1.0,3.0,B
2.0,5.0,1.0,4.0,B
2.0,5.0,1.0,5.0,B
2.0,5.0,2.0,1.0,B
2.0,5.0,2.0,2.0,B
2.0,5.0,2.0,3.0,B
2.0,5.0,2.0,4.0,B
2.0,5.0,2.0,5.0,A
2.0,5.0,3.0,1.0,B
2.0,5.0,3.0,2.0,B
2.0,5.0,3.0,3.0,B
2.0,5.0,3.0,4.0,C
2.0,5.0,3.0,5.0,C
2.0,5.0,4.0,1.0,B
2.0,5.0,4.0,2.0,B
2.0,5.0,4.0,3.0,C
2.0,5.0,4.0,4.0,C
2.0,5.0,4.0,5.0,C
2.0,5.0,5.0,1.0,B
2.0,5.0,5.0,2.0,A
2.0,5.0,5.0,3.0,C
2.0,5.0,5.0,4.0,C
2.0,5.0,5.0,5.0,C
3.0,1.0,1.0,1.0,B
3.0,1.0,1.0,2.0,B
3.0,1.0,1.0,3.0,A
3.0,1.0,1.0,4.0,C
3.0,1.0,1.0,5.0,C
3.0,1.0,2.0,1.0,B
3.0,1.0,2.0,2.0,C
3.0,1.0,2.0,3.0,C
3.0,1.0,2.0,4.0,C
3.0,1.0,2.0,5.0,C
3.0,1.0,3.0,1.0,A
3.0,1.0,3.0,2.0,C
3.0,1.0,3.0,3.0,C
3.0,1.0,3.0,4.0,C
3.0,1.0,3.0,5.0,C
3.0,1.0,4.0,1.0,C
3.0,1.0,4.0,2.0,C
3.0,1.0,4.0,3.0,C
3.0,1.0,4.0,4.0,C
3.0,1.0,4.0,5.0,C
3.0,1.0,5.0,1.0,C
3.0,1.0,5.0,2.0,C
3.0,1.0,5.0,3.0,C
3.0,1.0,5.0,4.0,C
3.0,1.0,5.0,5.0,C
3.0,2.0,1.0,1.0,B
3.0,2.0,1.0,2.0,B
3.0,2.0,1.0,3.0,B
3.0,2.0,1.0,4.0,B
3.0,2.0,1.0,5.0,B
3.0,2.0,2.0,1.0,B
3.0,2.0,2.0,2.0,B
3.0,2.0,2.0,3.0,A
3.0,2.0,2.0,4.0,C
3.0,2.0,2.0,5.0,C
3.0,2.0,3.0,1.0,B
3.0,2.0,3.0,2.0,A
3.0,2.0,3.0,3.0,C
3.0,2.0,3.0,4.0,C
3.0,2.0,3.0,5.0,C
3.0,2.0,4.0,1.0,B
3.0,2.0,4.0,2.0,C
3.0,2.0,4.0,3.0,C
3.0,2.0,4.0,4.0,C
3.0,2.0,4.0,5.0,C
3.0,2.0,5.0,1.0,B
3.0,2.0,5.0,2.0,C
3.0,2.0,5.0,3.0,C
3.0,2.0,5.0,4.0,C
3.0,2.0,5.0,5.0,C
3.0,3.0,1.0,1.0,B
3.0,3.0,1.0,2.0,B
3.0,3.0,1.0,3.0,B
3.0,3.0,1.0,4.0,B
3.0,3.0,1.0,5.0,B
3.0,3.0,2.0,1.0,B
3.0,3.0,2.0,2.0,B
3.0,3.0,2.0,3.0,B
3.0,3.0,2.0,4.0,B
3.0,3.0,2.0,5.0,C
3.0,3.0,3.0,1.0,B
3.0,3.0,3.0,2.0,B
3.0,3.0,3.0,3.0,A
3.0,3.0,3.0,4.0,C
3.0,3.0,3.0,5.0,C
3.0,3.0,4.0,1.0,B
3.0,3.0,4.0,2.0,B
3.0,3.0,4.0,3.0,C
3.0,3.0,4.0,4.0,C
3.0,3.0,4.0,5.0,C
3.0,3.0,5.0,1.0,B
3.0,3.0,5.0,2.0,C
3.0,3.0,5.0,3.0,C
3.0,3.0,5.0,4.0,C
3.0,3.0,5.0,5.0,C
3.0,4.0,1.0,1.0,B
3.0,4.0,1.0,2.0,B
3.0,4.0,1.0,3.0,B
3.0,4.0,1.0,4.0,B
3.0,4.0,1.0,5.0,B
3.0,4.0,2.0,1.0,B
3.0,4.0,2.0,2.0,B
3.0,4.0,2.0,3.0,B
3.0,4.0,2.0,4.0,B
3.0,4.0,2.0,5.0,B
3.0,4.0,3.0,1.0,B
3.0,4.0,3.0,2.0,B
3.0,4.0,3.0,3.0,B
3.0,4.0,3.0,4.0,A
3.0,4.0,3.0,5.0,C
3.0,4.0,4.0,1.0,B
3.0,4.0,4.0,2.0,B
3.0,4.0,4.0,3.0,A
3.0,4.0,4.0,4.0,C
3.0,4.0,4.0,5.0,C
3.0,4.0,5.0,1.0,B
3.0,4.0,5.0,2.0,B
3.0,4.0,5.0,3.0,C
3.0,4.0,5.0,4.0,C
3.0,4.0,5.0,5.0,C
3.0,5.0,1.0,1.0,B
3.0,5.0,1.0,2.0,B
3.0,5.0,1.0,3.0,B
3.0,5.0,1.0,4.0,B
3.0,5.0,1.0,5.0,B
3.0,5.0,2.0,1.0,B
3.0,5.0,2.0,2.0,B
3.0,5.0,2.0,3.0,B
3.0,5.0,2.0,4.0,B
3.0,5.0,2.0,5.0,B
3.0,5.0,3.0,1.0,B
3.0,5.0,3.0,2.0,B
3.0,5.0,3.0,3.0,B
3.0,5.0,3.0,4.0,B
3.0,5.0,3.0,5.0,A
3.0,5.0,4.0,1.0,B
3.0,5.0,4.0,2.0,B
3.0,5.0,4.0,3.0,B
3.0,5.0,4.0,4.0,C
3.0,5.0,4.0,5.0,C
3.0,5.0,5.0,1.0,B
3.0,5.0,5.0,2.0,B
3.0,5.0,5.0,3.0,A
3.0,5.0,5.0,4.0,C
3.0,5.0,5.0,5.0,C
4.0,1.0,1.0,1.0,B
4.0,1.0,1.0,2.0,B
4.0,1.0,1.0,3.0,B
4.0,1.0,1.0,4.0,A
4.0,1.0,1.0,5.0,C
4.0,1.0,2.0,1.0,B
4.0,1.0,2.0,2.0,A
4.0,1.0,2.0,3.0,C
4.0,1.0,2.0,4.0,C
4.0,1.0,2.0,5.0,C
4.0,1.0,3.0,1.0,B
4.0,1.0,3.0,2.0,C
4.0,1.0,3.0,3.0,C
4.0,1.0,3.0,4.0,C
4.0,1.0,3.0,5.0,C
4.0,1.0,4.0,1.0,A
4.0,1.0,4.0,2.0,C
4.0,1.0,4.0,3.0,C
4.0,1.0,4.0,4.0,C
4.0,1.0,4.0,5.0,C
4.0,1.0,5.0,1.0,C
4.0,1.0,5.0,2.0,C
4.0,1.0,5.0,3.0,C
4.0,1.0,5.0,4.0,C
4.0,1.0,5.0,5.0,C
4.0,2.0,1.0,1.0,B
4.0,2.0,1.0,2.0,B
4.0,2.0,1.0,3.0,B
4.0,2.0,1.0,4.0,B
4.0,2.0,1.0,5.0,B
4.0,2.0,2.0,1.0,B
4.0,2.0,2.0,2.0,B
4.0,2.0,2.0,3.0,B
4.0,2.0,2.0,4.0,A
4.0,2.0,2.0,5.0,C
4.0,2.0,3.0,1.0,B
4.0,2.0,3.0,2.0,B
4.0,2.0,3.0,3.0,C
4.0,2.0,3.0,4.0,C
4.0,2.0,3.0,5.0,C
4.0,2.0,4.0,1.0,B
4.0,2.0,4.0,2.0,A
4.0,2.0,4.0,3.0,C
4.0,2.0,4.0,4.0,C
4.0,2.0,4.0,5.0,C
4.0,2.0,5.0,1.0,B
4.0,2.0,5.0,2.0,C
4.0,2.0,5.0,3.0,C
4.0,2.0,5.0,4.0,C
4.0,2.0,5.0,5.0,C
4.0,3.0,1.0,1.0,B
4.0,3.0,1.0,2.0,B
4.0,3.0,1.0,3.0,B
4.0,3.0,1.0,4.0,B
4.0,3.0,1.0,5.0,B
4.0,3.0,2.0,1.0,B
4.0,3.0,2.0,2.0,B
4.0,3.0,2.0,3.0,B
4.0,3.0,2.0,4.0,B
4.0,3.0,2.0,5.0,B
4.0,3.0,3.0,1.0,B
4.0,3.0,3.0,2.0,B
4.0,3.0,3.0,3.0,B
4.0,3.0,3.0,4.0,A
4.0,3.0,3.0,5.0,C
4.0,3.0,4.0,1.0,B
4.0,3.0,4.0,2.0,B
4.0,3.0,4.0,3.0,A
4.0,3.0,4.0,4.0,C
4.0,3.0,4.0,5.0,C
4.0,3.0,5.0,1.0,B
4.0,3.0,5.0,2.0,B
4.0,3.0,5.0,3.0,C
4.0,3.0,5.0,4.0,C
4.0,3.0,5.0,5.0,C
4.0,4.0,1.0,1.0,B
4.0,4.0,1.0,2.0,B
4.0,4.0,1.0,3.0,B
4.0,4.0,1.0,4.0,B
4.0,4.0,1.0,5.0,B
4.0,4.0,2.0,1.0,B
4.0,4.0,2.0,2.0,B
4.0,4.0,2.0,3.0,B
4.0,4.0,2.0,4.0,B
4.0,4.0,2.0,5.0,B
4.0,4.0,3.0,1.0,B
4.0,4.0,3.0,2.0,B
4.0,4.0,3.0,3.0,B
4.0,4.0,3.0,4.0,B
4.0,4.0,3.0,5.0,B
4.0,4.0,4.0,1.0,B
4.0,4.0,4.0,2.0,B
4.0,4.0,4.0,3.0,B
4.0,4.0,4.0,4.0,A
4.0,4.0,4.0,5.0,C
4.0,4.0,5.0,1.0,B
4.0,4.0,5.0,2.0,B
4.0,4.0,5.0,3.0,B
4.0,4.0,5.0,4.0,C
4.0,4.0,5.0,5.0,C
4.0,5.0,1.0,1.0,B
4.0,5.0,1.0,2.0,B
4.0,5.0,1.0,3.0,B
4.0,5.0,1.0,4.0,B
4.0,5.0,1.0,5.0,B
4.0,5.0,2.0,1.0,B
4.0,5.0,2.0,2.0,B
4.0,5.0,2.0,3.0,B
4.0,5.0,2.0,4.0,B
4.0,5.0,2.0,5.0,B
4.0,5.0,3.0,1.0,B
4.0,5.0,3.0,2.0,B
4.0,5.0,3.0,3.0,B
4.0,5.0,3.0,4.0,B
4.0,5.0,3.0,5.0,B
4.0,5.0,4.0,1.0,B
4.0,5.0,4.0,2.0,B
4.0,5.0,4.0,3.0,B
4.0,5.0,4.0,4.0,B
4.0,5.0,4.0,5.0,A
4.0,5.0,5.0,1.0,B
4.0,5.0,5.0,2.0,B
4.0,5.0,5.0,3.0,B
4.0,5.0,5.0,4.0,A
4.0,5.0,5.0,5.0,C
5.0,1.0,1.0,1.0,B
5.0,1.0,1.0,2.0,B
5.0,1.0,1.0,3.0,B
5.0,1.0,1.0,4.0,B
5.0,1.0,1.0,5.0,A
5.0,1.0,2.0,1.0,B
5.0,1.0,2.0,2.0,B
5.0,1.0,2.0,3.0,C
5.0,1.0,2.0,4.0,C
5.0,1.0,2.0,5.0,C
5.0,1.0,3.0,1.0,B
5.0,1.0,3.0,2.0,C
5.0,1.0,3.0,3.0,C
5.0,1.0,3.0,4.0,C
5.0,1.0,3.0,5.0,C
5.0,1.0,4.0,1.0,B
5.0,1.0,4.0,2.0,C
5.0,1.0,4.0,3.0,C
5.0,1.0,4.0,4.0,C
5.0,1.0,4.0,5.0,C
5.0,1.0,5.0,1.0,A
5.0,1.0,5.0,2.0,C
5.0,1.0,5.0,3.0,C
5.0,1.0,5.0,4.0,C
5.0,1.0,5.0,5.0,C
5.0,2.0,1.0,1.0,B
5.0,2.0,1.0,2.0,B
5.0,2.0,1.0,3.0,B
5.0,2.0,1.0,4.0,B
5.0,2.0,1.0,5.0,B
5.0,2.0,2.0,1.0,B
5.0,2.0,2.0,2.0,B
5.0,2.0,2.0,3.0,B
5.0,2.0,2.0,4.0,B
5.0,2.0,2.0,5.0,A
5.0,2.0,3.0,1.0,B
5.0,2.0,3.0,2.0,B
5.0,2.0,3.0,3.0,B
5.0,2.0,3.0,4.0,C
5.0,2.0,3.0,5.0,C
5.0,2.0,4.0,1.0,B
5.0,2.0,4.0,2.0,B
5.0,2.0,4.0,3.0,C
5.0,2.0,4.0,4.0,C
5.0,2.0,4.0,5.0,C
5.0,2.0,5.0,1.0,B
5.0,2.0,5.0,2.0,A
5.0,2.0,5.0,3.0,C
5.0,2.0,5.0,4.0,C
5.0,2.0,5.0,5.0,C
5.0,3.0,1.0,1.0,B
5.0,3.0,1.0,2.0,B
5.0,3.0,1.0,3.0,B
5.0,3.0,1.0,4.0,B
5.0,3.0,1.0,5.0,B
5.0,3.0,2.0,1.0,B
5.0,3.0,2.0,2.0,B
5.0,3.0,2.0,3.0,B
5.0,3.0,2.0,4.0,B
5.0,3.0,2.0,5.0,B
5.0,3.0,3.0,1.0,B
5.0,3.0,3.0,2.0,B
5.0,3.0,3.0,3.0,B
5.0,3.0,3.0,4.0,B
5.0,3.0,3.0,5.0,A
5.0,3.0,4.0,1.0,B
5.0,3.0,4.0,2.0,B
5.0,3.0,4.0,3.0,B
5.0,3.0,4.0,4.0,C
5.0,3.0,4.0,5.0,C
5.0,3.0,5.0,1.0,B
5.0,3.0,5.0,2.0,B
5.0,3.0,5.0,3.0,A
5.0,3.0,5.0,4.0,C
5.0,3.0,5.0,5.0,C
5.0,4.0,1.0,1.0,B
5.0,4.0,1.0,2.0,B
5.0,4.0,1.0,3.0,B
5.0,4.0,1.0,4.0,B
5.0,4.0,1.0,5.0,B
5.0,4.0,2.0,1.0,B
5.0,4.0,2.0,2.0,B
5.0,4.0,2.0,3.0,B
5.0,4.0,2.0,4.0,B
5.0,4.0,2.0,5.0,B
5.0,4.0,3.0,1.0,B
5.0,4.0,3.0,2.0,B
5.0,4.0,3.0,3.0,B
5.0,4.0,3.0,4.0,B
5.0,4.0,3.0,5.0,B
5.0,4.0,4.0,1.0,B
5.0,4.0,4.0,2.0,B
5.0,4.0,4.0,3.0,B
5.0,4.0,4.0,4.0,B
5.0,4.0,4.0,5.0,A
5.0,4.0,5.0,1.0,B
5.0,4.0,5.0,2.0,B
5.0,4.0,5.0,3.0,B
5.0,4.0,5.0,4.0,A
5.0,4.0,5.0,5.0,C
5.0,5.0,1.0,1.0,B
5.0,5.0,1.0,2.0,B
5.0,5.0,1.0,3.0,B
5.0,5.0,1.0,4.0,B
5.0,5.0,1.0,5.0,B
5.0,5.0,2.0,1.0,B
5.0,5.0,2.0,2.0,B
5.0,5.0,2.0,3.0,B
5.0,5.0,2.0,4.0,B
5.0,5.0,2.0,5.0,B
5.0,5.0,3.0,1.0,B
5.0,5.0,3.0,2.0,B
5.0,5.0,3.0,3.0,B
5.0,5.0,3.0,4.0,B
5.0,5.0,3.0,5.0,B
5.0,5.0,4.0,1.0,B
5.0,5.0,4.0,2.0,B
5.0,5.0,4.0,3.0,B
5.0,5.0,4.0,4.0,B
5.0,5.0,4.0,5.0,B
5.0,5.0,5.0,1.0,B
5.0,5.0,5.0,2.0,B
5.0,5.0,5.0,3.0,B
5.0,5.0,5.0,4.0,B
5.0,5.0,5.0,5.0,A
% 
% 
% 
