@RELATION horse-colic

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D, E, F}
@ATTRIBUTE feature_11 {A, B, C, D, E}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE feature_16 {A, B, C, D, E}
@ATTRIBUTE feature_17 {A, B, C, D, E, F}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 {A, B, C, D}
@ATTRIBUTE feature_21 REAL
@ATTRIBUTE feature_22 {A, B, C, D}
@ATTRIBUTE class {A, B}

@DATA
B,A,38.6,40.0,20.0,A,A,A,B,A,A,A,A,A,?,A,A,41.0,6.4,A,?,D,A
B,A,40.3,114.0,36.0,C,E,E,C,D,D,B,D,D,7.0,E,B,57.0,8.1,D,4.5,C,B
C,B,38.6,160.0,20.0,C,A,C,B,E,D,D,C,A,?,B,A,38.0,?,C,?,B,B
C,A,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,24.0,6.7,A,?,D,B
C,A,?,64.0,36.0,E,A,B,B,C,D,B,D,C,?,A,A,42.0,7.7,A,?,B,B
C,A,?,?,20.0,B,E,G,A,C,B,B,D,A,?,B,C,53.0,5.9,D,?,B,B
B,A,?,96.0,?,C,E,G,C,C,B,D,B,C,?,B,B,60.0,?,A,?,B,B
B,A,37.8,48.0,32.0,D,D,G,B,D,C,A,B,D,?,B,B,37.0,6.7,A,?,D,A
B,A,38.5,60.0,?,E,C,E,B,B,E,E,D,D,?,E,E,44.0,7.7,A,?,D,A
C,A,37.8,88.0,22.0,E,D,B,B,E,A,A,D,A,?,B,A,64.0,8.0,B,6.0,B,B
B,A,38.2,130.0,16.0,B,E,F,C,D,B,D,B,D,?,A,A,65.0,82.0,C,2.0,C,A
C,A,39.0,64.0,36.0,C,D,F,C,E,D,E,B,C,7.0,B,B,44.0,7.5,D,5.0,D,B
C,A,?,60.0,36.0,C,D,G,B,E,D,E,B,D,?,C,C,26.0,72.0,C,1.0,D,B
B,A,37.9,72.0,?,D,D,C,C,E,D,C,B,B,2.0,C,C,58.0,74.0,B,2.0,D,B
B,A,38.4,54.0,24.0,D,D,E,B,B,D,C,D,D,?,C,F,49.0,7.2,B,?,D,A
B,A,?,52.0,16.0,D,A,G,B,A,A,A,D,B,5.5,A,A,55.0,7.2,A,?,D,A
B,A,38.0,48.0,12.0,D,D,E,B,B,D,A,B,D,?,C,F,42.0,6.3,C,4.1,D,A
B,A,37.0,60.0,20.0,C,A,A,B,E,A,B,D,C,4.5,B,C,43.0,7.6,A,?,C,B
C,A,37.8,48.0,28.0,D,D,E,B,B,E,C,D,A,?,E,E,46.0,5.9,C,7.0,D,A
C,A,37.7,56.0,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,B
C,A,38.1,52.0,24.0,D,D,C,B,F,D,C,D,B,7.0,E,A,54.0,7.5,C,2.6,B,B
C,B,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,37.0,4.9,A,?,B,B
C,B,39.7,100.0,?,C,E,C,C,D,D,A,A,A,?,A,A,48.0,57.0,C,2.0,C,B
C,A,37.6,38.0,20.0,C,E,E,B,E,D,E,A,A,?,C,A,37.0,68.0,A,?,D,B
B,A,38.7,52.0,20.0,E,A,E,B,B,C,C,B,D,?,E,E,33.0,77.0,A,?,D,A
C,A,?,?,?,C,E,G,D,C,D,B,C,C,?,B,B,46.0,5.9,A,?,B,B
C,A,37.5,96.0,18.0,D,E,D,C,E,B,E,D,B,5.0,A,C,69.0,8.9,D,?,D,B
C,A,36.4,98.0,35.0,C,E,F,B,F,D,E,A,A,?,B,C,47.0,6.4,D,3.6,B,B
C,A,37.3,40.0,?,A,E,E,B,D,D,E,C,D,?,C,B,36.0,?,D,2.0,D,B
C,B,38.1,100.0,80.0,C,D,B,B,E,B,C,A,A,?,E,A,36.0,5.7,A,?,D,B
C,A,38.0,?,24.0,C,E,D,C,C,A,D,B,D,?,A,A,68.0,7.8,A,?,B,B
C,A,37.8,60.0,80.0,D,E,B,C,D,D,B,A,C,5.5,B,A,40.0,4.5,C,?,D,B
B,A,38.0,54.0,30.0,E,E,G,D,E,C,E,D,C,?,A,C,45.0,6.2,A,?,D,A
C,A,?,88.0,40.0,C,E,F,C,C,B,B,C,A,?,B,B,50.0,7.7,D,1.4,B,B
B,A,?,40.0,16.0,A,A,A,B,A,A,A,A,A,?,A,A,50.0,7.0,C,3.9,C,B
B,A,39.0,64.0,40.0,D,D,C,B,E,D,E,D,D,?,C,D,42.0,7.5,C,2.3,D,A
B,A,38.3,42.0,10.0,D,D,E,B,B,C,C,A,A,?,A,A,38.0,61.0,A,?,D,A
B,A,38.0,52.0,16.0,A,A,A,A,D,A,A,A,B,1.0,E,E,53.0,86.0,A,?,D,B
B,A,40.3,114.0,36.0,C,E,E,C,D,D,B,D,D,7.0,E,B,57.0,8.1,D,4.5,B,B
B,A,38.8,50.0,20.0,C,D,E,B,B,C,C,D,D,?,C,E,42.0,6.2,A,?,D,A
B,A,?,?,?,C,E,E,B,C,D,B,B,D,?,B,B,38.0,6.5,A,?,B,B
B,A,37.5,48.0,30.0,B,D,G,B,A,E,C,B,D,?,E,E,48.0,8.6,A,?,D,A
C,A,37.3,48.0,20.0,A,D,B,B,E,D,B,D,D,?,C,B,41.0,69.0,A,?,D,B
B,A,?,84.0,36.0,A,A,G,B,A,D,C,D,D,?,C,F,44.0,8.5,A,?,D,B
C,A,38.1,88.0,32.0,C,E,F,B,D,D,B,A,B,1.0,B,B,55.0,60.0,A,?,C,A
B,A,37.7,44.0,40.0,E,D,G,B,B,D,E,B,D,?,E,B,41.0,60.0,A,?,D,A
B,A,39.6,108.0,51.0,C,E,D,C,D,B,B,B,C,?,C,B,59.0,8.0,C,2.6,D,A
C,A,38.2,40.0,16.0,C,E,E,B,B,D,A,A,A,?,E,E,34.0,66.0,A,?,D,A
C,A,?,60.0,20.0,B,E,F,C,C,B,A,A,D,?,B,B,?,?,A,?,C,B
B,A,38.3,40.0,16.0,C,A,E,B,D,A,A,A,A,?,A,A,37.0,57.0,A,?,D,A
C,B,38.0,140.0,68.0,D,D,E,B,E,D,E,A,A,?,D,E,39.0,5.3,A,?,D,B
C,A,37.8,52.0,24.0,D,E,G,B,F,B,C,D,B,5.7,D,B,48.0,6.6,B,3.7,B,B
C,A,?,70.0,36.0,D,A,G,C,D,D,E,D,A,?,B,B,36.0,7.3,A,?,D,B
C,A,38.3,52.0,96.0,A,E,G,B,A,A,A,B,D,?,E,A,43.0,6.1,A,?,D,B
B,A,37.3,50.0,32.0,D,D,G,B,B,D,E,A,A,?,E,A,44.0,7.0,A,?,D,A
C,A,38.7,60.0,32.0,B,E,B,C,F,B,D,A,A,?,B,B,53.0,64.0,D,2.0,C,B
C,B,38.4,84.0,40.0,C,E,B,B,E,D,B,B,D,?,A,A,36.0,6.6,C,2.8,B,B
C,A,?,70.0,16.0,C,B,C,C,D,D,E,D,D,?,B,B,60.0,7.5,A,?,B,B
C,A,38.3,40.0,16.0,C,A,A,B,B,D,E,A,A,?,A,A,38.0,58.0,B,2.0,D,B
C,A,?,40.0,?,E,D,E,B,B,D,C,B,D,?,A,B,39.0,56.0,A,?,D,B
C,A,36.8,60.0,28.0,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,10.0,B,B
C,A,38.4,44.0,24.0,C,A,F,A,C,B,B,D,D,?,B,B,50.0,77.0,A,?,D,B
B,A,?,?,40.0,C,D,E,B,E,D,E,A,A,?,A,A,45.0,70.0,A,?,D,A
C,A,38.0,44.0,12.0,D,D,E,B,E,D,B,D,D,?,B,B,42.0,65.0,A,?,D,B
B,A,39.5,?,?,C,E,F,C,E,B,B,A,B,5.5,B,B,?,6.7,B,?,C,B
C,A,36.5,78.0,30.0,D,A,E,B,C,D,C,A,D,?,A,A,34.0,75.0,C,1.0,D,B
B,A,38.1,56.0,20.0,E,D,B,B,B,D,C,B,D,?,A,A,46.0,70.0,A,?,D,A
C,A,39.4,54.0,66.0,D,D,B,B,D,D,E,B,D,?,C,C,39.0,6.0,C,?,D,B
C,A,38.3,80.0,40.0,A,A,D,C,F,D,C,A,C,?,E,C,67.0,10.2,C,1.0,C,B
B,A,38.7,40.0,28.0,E,D,E,B,E,C,C,A,A,?,E,A,39.0,62.0,B,1.0,D,A
C,A,38.2,64.0,24.0,D,D,G,B,F,B,B,D,D,?,B,C,45.0,7.5,B,2.0,B,B
B,A,37.6,48.0,20.0,C,D,F,B,B,C,B,D,D,?,E,E,37.0,5.5,A,?,C,B
C,A,38.0,42.0,68.0,B,D,E,B,E,D,E,D,C,?,B,C,41.0,7.6,A,?,D,B
C,A,38.7,?,?,C,D,G,B,C,B,E,A,A,?,A,A,33.0,6.5,C,?,D,B
C,A,37.4,50.0,32.0,C,E,A,B,F,B,C,D,D,?,E,A,45.0,7.9,C,1.0,D,B
C,A,37.4,84.0,20.0,A,A,G,B,D,D,B,A,A,?,A,A,31.0,61.0,A,1.0,C,A
C,A,38.4,49.0,?,A,A,E,B,A,A,C,D,D,?,A,A,44.0,7.6,A,?,D,B
C,A,37.8,30.0,12.0,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,B
B,A,37.6,88.0,36.0,C,D,E,B,E,D,E,B,B,1.5,A,A,44.0,6.0,A,?,B,B
A,A,38.0,48.0,20.0,C,D,G,B,F,D,C,D,D,?,C,B,43.0,73.0,C,1.0,A,B
B,A,37.9,40.0,24.0,D,D,E,B,D,D,C,A,A,?,A,D,40.0,5.7,A,?,D,B
C,A,?,100.0,?,C,A,F,C,C,B,A,D,A,?,D,A,59.0,6.3,A,?,B,B
C,B,38.1,136.0,48.0,C,E,G,B,C,C,B,D,C,4.4,D,A,33.0,4.9,C,2.9,B,B
C,A,?,?,?,C,E,G,C,C,D,B,C,C,?,B,B,46.0,5.9,A,?,B,B
C,A,38.0,48.0,?,D,D,E,B,B,E,D,D,C,?,B,B,?,?,A,?,D,B
B,A,38.0,56.0,?,D,C,G,B,B,C,C,B,D,?,E,E,42.0,71.0,A,?,D,A
B,A,38.0,60.0,32.0,D,D,A,B,E,D,A,B,D,?,A,A,50.0,7.0,B,1.0,D,A
C,A,38.1,44.0,9.0,C,D,E,B,D,E,C,B,D,?,B,B,31.0,7.3,A,?,D,A
B,A,36.0,42.0,30.0,A,A,C,B,A,A,A,A,A,?,A,A,64.0,6.8,A,?,B,A
C,A,?,120.0,?,B,E,D,C,C,B,D,A,A,?,B,B,57.0,4.5,D,3.9,B,B
C,A,37.8,48.0,28.0,D,D,E,C,B,E,C,D,A,?,E,E,46.0,5.9,C,7.0,D,A
C,A,37.1,84.0,40.0,C,E,D,B,D,B,D,C,C,2.0,B,B,75.0,81.0,A,?,C,A
B,A,?,80.0,32.0,C,E,B,B,D,D,B,D,D,?,C,A,50.0,80.0,A,?,D,B
C,A,38.2,48.0,?,D,E,G,B,E,B,D,B,B,2.0,B,B,42.0,71.0,A,?,D,B
B,A,38.0,44.0,12.0,E,D,G,B,E,B,B,B,C,6.5,E,C,33.0,6.5,A,?,B,B
C,A,38.3,132.0,?,A,E,D,C,D,B,E,D,B,6.2,B,C,57.0,8.0,A,5.2,D,B
B,A,38.7,48.0,24.0,A,A,A,A,B,C,A,B,D,?,E,A,34.0,63.0,A,?,D,A
B,A,38.9,44.0,14.0,C,D,E,B,D,D,E,A,A,?,A,F,33.0,64.0,A,?,D,A
C,A,39.3,?,?,B,E,D,C,F,B,E,B,B,4.0,B,C,75.0,?,D,4.3,B,B
C,A,?,100.0,?,C,E,F,C,A,B,D,D,D,2.0,A,A,68.0,64.0,D,2.0,D,B
B,A,38.6,48.0,20.0,C,D,E,B,B,D,E,D,D,?,C,F,50.0,7.3,B,?,D,A
B,A,38.8,48.0,40.0,D,D,G,B,E,D,D,D,A,?,A,B,41.0,65.0,A,?,D,B
B,A,38.0,48.0,20.0,C,E,F,B,B,B,E,D,A,5.0,A,F,49.0,8.3,B,?,D,A
B,A,38.6,52.0,20.0,D,D,E,B,E,D,E,B,D,?,E,D,36.0,6.6,B,5.0,D,A
C,A,37.8,60.0,24.0,D,A,G,C,A,B,D,D,B,2.0,A,B,52.0,75.0,A,?,C,B
B,A,38.0,42.0,40.0,C,D,E,B,E,D,C,A,A,?,A,A,?,?,A,?,D,A
B,A,?,?,12.0,D,D,B,B,D,C,E,C,D,?,E,D,44.0,7.5,C,?,D,A
C,A,?,?,?,A,A,A,A,F,A,A,B,D,?,A,B,35.0,58.0,C,1.0,D,B
C,A,38.3,42.0,24.0,A,A,A,B,A,A,A,A,A,?,A,A,40.0,8.5,A,?,B,B
B,A,39.5,60.0,10.0,C,A,A,C,E,D,E,D,D,?,C,A,38.0,56.0,B,?,D,A
C,A,38.0,66.0,20.0,D,E,G,B,C,D,C,B,D,?,C,A,46.0,46.0,D,2.0,C,B
C,A,38.7,76.0,?,D,D,C,C,E,D,E,D,C,?,B,C,50.0,8.0,A,?,D,B
C,A,39.4,120.0,48.0,A,A,C,B,A,D,B,B,A,?,B,A,56.0,64.0,B,2.0,C,A
C,A,38.3,40.0,18.0,D,D,E,B,E,C,C,A,A,?,D,E,43.0,5.9,B,?,D,A
B,A,?,44.0,24.0,D,D,E,B,E,D,C,D,D,?,A,E,?,6.3,A,?,D,A
C,A,38.4,104.0,40.0,D,D,G,B,D,B,E,D,B,6.5,A,C,55.0,8.5,A,?,D,B
C,A,?,65.0,24.0,A,A,A,C,C,A,D,C,D,?,A,B,?,?,A,?,C,B
B,A,37.5,44.0,20.0,D,D,G,B,A,C,C,A,A,?,E,A,35.0,7.2,A,?,D,A
B,A,39.0,86.0,16.0,C,E,C,A,E,D,B,A,C,?,A,A,68.0,5.8,D,6.0,B,B
C,A,38.5,129.0,48.0,C,E,G,B,D,B,B,B,B,2.0,A,A,57.0,66.0,D,2.0,D,B
C,A,?,104.0,?,C,E,C,C,D,B,B,A,B,?,B,C,69.0,8.6,C,3.4,B,B
B,A,?,?,?,C,B,D,A,F,A,D,A,A,?,A,A,?,?,A,?,B,B
C,A,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,D,B
C,A,38.2,60.0,30.0,D,D,G,B,E,D,C,D,D,?,C,F,48.0,66.0,A,?,D,B
C,A,?,68.0,14.0,A,A,F,B,F,A,A,A,D,4.3,A,A,?,?,C,2.8,B,B
C,A,?,60.0,30.0,C,E,F,C,C,B,D,B,D,?,B,A,45.0,70.0,D,2.0,D,B
B,A,38.5,100.0,?,C,E,C,C,F,D,D,D,D,?,B,B,?,?,A,?,C,A
C,A,38.4,84.0,30.0,C,D,C,C,F,D,B,D,B,6.5,B,C,47.0,7.5,D,?,B,B
B,A,37.8,48.0,14.0,A,A,E,B,E,A,E,B,B,5.3,E,A,35.0,7.5,A,?,D,A
C,A,38.0,?,24.0,C,E,D,C,C,A,D,B,D,?,A,A,68.0,7.8,A,?,B,B
B,A,37.8,56.0,16.0,D,D,B,B,D,C,C,D,D,?,E,A,44.0,68.0,B,1.0,D,A
B,A,38.2,68.0,32.0,E,C,B,B,B,C,C,C,D,?,E,E,43.0,65.0,A,?,D,A
C,A,38.5,120.0,60.0,B,E,D,C,A,D,A,A,A,?,A,A,54.0,?,A,?,D,B
C,A,39.3,64.0,90.0,E,E,E,B,A,D,C,B,C,?,A,A,39.0,6.7,A,?,D,B
C,A,38.4,80.0,30.0,B,E,E,B,E,D,B,C,B,?,B,B,32.0,6.1,D,4.3,D,B
C,A,38.5,60.0,?,D,D,A,B,A,C,C,A,A,?,A,A,33.0,53.0,B,?,D,B
C,A,38.3,60.0,16.0,C,D,E,B,D,C,C,D,C,3.0,E,C,30.0,6.0,B,3.0,D,B
C,A,37.1,40.0,8.0,A,D,F,B,E,D,C,B,D,?,C,D,23.0,6.7,D,?,D,B
B,B,?,100.0,44.0,E,D,E,B,F,C,C,A,A,?,E,A,37.0,4.7,A,?,D,A
C,A,38.2,48.0,18.0,D,D,E,B,E,D,B,B,C,?,B,A,48.0,74.0,B,2.0,D,B
C,A,?,60.0,48.0,C,E,F,C,F,D,D,A,A,?,A,A,58.0,7.6,A,?,B,B
B,A,37.9,88.0,24.0,D,D,B,B,D,E,C,A,A,?,B,E,37.0,56.0,A,?,D,A
B,A,38.0,44.0,12.0,C,D,E,A,A,C,E,A,A,?,E,A,42.0,64.0,A,?,D,A
B,A,38.5,60.0,20.0,D,D,C,C,D,E,C,D,D,?,D,D,63.0,7.5,C,2.3,C,A
B,A,38.5,96.0,36.0,C,E,A,C,D,B,E,B,C,?,B,B,70.0,8.5,A,?,B,B
B,A,38.3,60.0,20.0,D,D,E,C,B,D,C,A,A,?,C,A,34.0,66.0,A,?,D,A
B,A,38.5,60.0,40.0,C,D,B,B,D,C,E,A,A,?,C,F,49.0,59.0,A,?,D,A
C,A,37.3,48.0,12.0,D,A,G,B,E,C,B,D,D,?,C,D,40.0,6.6,C,?,D,B
C,A,38.5,86.0,?,D,D,G,B,F,B,B,D,D,?,C,B,45.0,7.4,B,3.4,B,B
C,A,37.5,48.0,40.0,A,A,A,A,A,A,A,B,D,?,A,B,41.0,55.0,D,2.0,C,B
B,A,37.2,36.0,9.0,D,D,E,B,D,D,C,D,D,?,B,E,35.0,5.7,A,?,D,A
C,A,39.2,?,23.0,C,D,G,B,F,B,E,D,A,?,A,A,36.0,6.6,B,3.0,D,B
B,A,38.5,100.0,?,C,E,C,C,F,D,D,D,D,?,B,B,?,?,A,?,C,A
C,A,38.5,96.0,30.0,E,E,F,C,F,B,B,D,D,?,C,B,50.0,65.0,A,?,D,B
C,A,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,45.0,8.7,A,?,B,B
C,A,37.8,88.0,80.0,C,E,C,C,A,D,B,D,B,?,B,B,64.0,89.0,A,?,C,B
B,A,37.5,44.0,10.0,C,D,E,B,E,C,E,D,A,?,C,D,43.0,51.0,B,1.0,D,A
C,A,37.9,68.0,20.0,A,D,B,B,D,B,E,A,A,?,E,B,45.0,4.0,D,2.8,B,B
C,A,38.0,86.0,24.0,B,E,F,B,D,B,D,B,D,?,B,B,45.0,5.5,B,10.1,B,B
C,B,38.9,120.0,30.0,D,E,B,C,E,D,B,C,D,3.0,A,A,47.0,6.3,B,?,D,A
C,A,37.6,45.0,12.0,C,D,G,B,A,E,E,D,D,?,E,C,39.0,7.0,C,1.5,D,B
B,A,38.6,56.0,32.0,E,D,E,B,B,C,C,D,A,?,D,A,40.0,7.0,C,2.1,D,A
C,A,37.8,40.0,12.0,D,D,E,B,B,E,C,D,D,?,E,F,38.0,7.0,A,?,D,B
B,A,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,D,A
C,A,38.0,76.0,18.0,A,A,A,C,A,A,A,A,A,?,A,A,71.0,11.0,A,?,D,B
C,A,38.1,40.0,36.0,D,C,B,B,D,E,A,A,A,?,A,A,?,?,A,?,C,B
C,A,?,52.0,28.0,C,E,F,B,E,B,B,D,D,?,B,C,37.0,8.1,A,?,D,B
C,A,39.2,88.0,58.0,B,B,A,C,C,B,A,A,A,?,A,A,?,?,C,2.0,C,A
C,A,38.5,92.0,40.0,B,E,A,B,D,B,B,A,A,?,B,A,46.0,67.0,C,2.0,D,B
C,A,?,112.0,13.0,B,B,F,B,D,D,C,D,D,4.5,B,C,60.0,6.3,D,?,D,B
C,A,37.7,66.0,12.0,D,D,G,B,E,D,E,D,A,?,B,C,31.5,6.2,C,1.6,D,B
C,A,38.8,50.0,14.0,D,D,E,B,E,C,C,B,D,?,C,B,38.0,58.0,A,?,D,B
B,A,38.4,54.0,24.0,D,D,E,B,B,D,C,D,D,?,C,F,49.0,7.2,B,8.0,D,A
C,A,39.2,120.0,20.0,B,E,C,C,D,D,B,B,B,?,A,C,60.0,8.8,D,?,B,B
C,B,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,45.0,6.5,C,?,D,B
C,A,37.3,90.0,40.0,C,A,D,C,C,B,B,D,C,?,E,B,65.0,50.0,D,2.0,C,B
C,B,38.5,120.0,70.0,A,A,A,A,A,C,A,D,A,?,E,A,35.0,54.0,B,1.0,D,B
C,A,38.5,104.0,40.0,C,E,A,B,F,D,D,A,A,?,A,A,?,?,A,?,D,B
