@RELATION credit-rating

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C, D}
@ATTRIBUTE feature_06 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O}
@ATTRIBUTE feature_07 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 REAL
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE class {A, B}

@DATA
C,29.25,14.79,C,B,B,I,5.04,B,B,5.0,B,A,168.0,0.0,A
C,42.0,9.79,C,B,O,E,7.96,B,B,8.0,A,A,0.0,0.0,A
C,49.5,7.585,C,B,H,B,7.585,B,B,15.0,B,A,0.0,5000.0,A
B,36.75,5.125,C,B,F,I,5.0,B,A,0.0,B,A,0.0,4000.0,A
B,22.58,10.75,C,B,L,I,0.415,B,B,5.0,B,A,0.0,560.0,A
C,27.83,1.5,C,B,N,I,2.0,B,B,11.0,B,A,434.0,35.0,A
C,27.25,1.585,C,B,D,E,1.835,B,B,12.0,B,A,583.0,713.0,A
B,23.0,11.75,C,B,O,E,0.5,B,B,2.0,B,A,300.0,551.0,A
C,27.75,0.585,D,D,D,I,0.25,B,B,2.0,A,A,260.0,500.0,A
C,54.58,9.415,C,B,G,D,14.415,B,B,11.0,B,A,30.0,300.0,A
C,34.17,9.17,C,B,C,I,4.5,B,B,12.0,B,A,0.0,221.0,A
C,28.92,15.0,C,B,C,E,5.335,B,B,11.0,A,A,0.0,2283.0,A
C,29.67,1.415,C,B,N,E,0.75,B,B,1.0,A,A,240.0,100.0,A
C,39.58,13.915,C,B,N,I,8.625,B,B,6.0,B,A,70.0,0.0,A
C,56.42,28.0,D,D,C,I,28.5,B,B,40.0,A,A,0.0,15.0,A
C,54.33,6.75,C,B,C,E,2.625,B,B,11.0,B,A,0.0,284.0,A
B,41.0,2.04,D,D,L,E,0.125,B,B,23.0,B,A,455.0,1236.0,A
C,31.92,4.46,C,B,D,E,6.04,B,B,3.0,A,A,311.0,300.0,A
C,41.5,1.54,C,B,H,B,3.5,A,A,0.0,A,A,216.0,0.0,A
C,23.92,0.665,C,B,C,I,0.165,A,A,0.0,A,A,100.0,0.0,A
B,25.75,0.5,C,B,C,E,0.875,B,A,0.0,B,A,491.0,0.0,A
C,26.0,1.0,C,B,L,I,1.75,B,A,0.0,B,A,280.0,0.0,A
C,37.42,2.04,C,B,N,I,0.04,B,A,0.0,B,A,400.0,5800.0,A
C,34.92,2.5,C,B,N,I,0.0,B,A,0.0,B,A,239.0,200.0,A
C,34.25,3.0,C,B,D,E,7.415,B,A,0.0,B,A,0.0,0.0,A
C,23.33,11.625,D,D,N,I,0.835,B,A,0.0,B,A,160.0,300.0,A
C,23.17,0.0,C,B,D,I,0.085,B,A,0.0,A,A,0.0,0.0,A
C,44.33,0.5,C,B,H,E,5.0,B,A,0.0,B,A,320.0,0.0,A
C,35.17,4.5,C,B,O,E,5.75,A,A,0.0,B,C,711.0,0.0,A
C,43.25,3.0,C,B,L,E,6.0,B,B,11.0,A,A,80.0,0.0,A
C,56.75,12.25,C,B,K,I,1.25,B,B,4.0,B,A,200.0,0.0,A
C,31.67,16.165,C,B,E,I,3.0,B,B,9.0,A,A,250.0,730.0,A
B,23.42,0.79,D,D,L,I,1.5,B,B,2.0,B,A,80.0,400.0,A
B,20.42,0.835,C,B,L,I,1.585,B,B,1.0,A,A,0.0,0.0,A
C,26.67,4.25,C,B,D,I,4.29,B,B,1.0,B,A,120.0,0.0,A
C,34.17,1.54,C,B,D,I,1.54,B,B,1.0,B,A,520.0,50000.0,A
B,36.0,1.0,C,B,C,I,2.0,B,B,11.0,A,A,0.0,456.0,A
C,25.5,0.375,C,B,K,I,0.25,B,B,3.0,A,A,260.0,15108.0,A
C,19.42,6.5,C,B,N,E,1.46,B,B,7.0,A,A,80.0,2954.0,A
C,35.17,25.125,C,B,O,E,1.625,B,B,1.0,B,A,515.0,500.0,A
C,32.33,7.5,C,B,F,B,1.585,B,A,0.0,B,C,420.0,0.0,B
C,34.83,4.0,C,B,E,B,12.5,B,A,0.0,B,A,?,0.0,B
B,38.58,5.0,C,B,D,I,13.5,B,A,0.0,B,A,980.0,0.0,B
C,44.25,0.5,C,B,K,I,10.75,B,A,0.0,A,C,400.0,0.0,B
C,44.83,7.0,D,D,C,I,1.625,A,A,0.0,A,A,160.0,2.0,B
C,20.67,5.29,C,B,L,I,0.375,B,B,1.0,A,A,160.0,0.0,B
C,34.08,6.5,C,B,B,I,0.125,B,A,0.0,B,A,443.0,0.0,B
B,19.17,0.585,D,D,B,I,0.585,B,A,0.0,B,A,160.0,0.0,B
C,21.67,1.165,D,D,J,I,2.5,B,B,1.0,A,A,180.0,20.0,B
C,21.5,9.75,C,B,C,I,0.25,B,A,0.0,A,A,140.0,0.0,B
C,49.58,19.0,C,B,G,D,0.0,B,B,1.0,A,A,94.0,0.0,B
B,27.67,1.5,C,B,K,I,2.0,B,A,0.0,A,C,368.0,0.0,B
C,39.83,0.5,C,B,K,I,0.25,B,A,0.0,A,C,288.0,0.0,B
B,?,3.5,C,B,E,I,3.0,B,A,0.0,B,A,300.0,0.0,B
C,27.25,0.625,C,B,B,I,0.455,B,A,0.0,B,A,200.0,0.0,B
C,37.17,4.0,C,B,C,B,5.0,B,A,0.0,B,C,280.0,0.0,B
C,?,0.375,C,B,E,I,0.875,B,A,0.0,B,C,928.0,0.0,B
C,25.67,2.21,D,D,B,I,4.0,B,A,0.0,A,A,188.0,0.0,B
C,34.0,4.5,C,B,B,I,1.0,B,A,0.0,B,A,240.0,0.0,B
B,49.0,1.5,C,B,I,F,0.0,B,A,0.0,B,A,100.0,27.0,B
C,62.5,12.75,D,D,C,E,5.0,B,A,0.0,A,A,112.0,0.0,B
C,31.42,15.5,C,B,C,I,0.5,B,A,0.0,A,A,120.0,0.0,B
C,?,5.0,D,D,B,I,8.5,B,A,0.0,A,A,0.0,0.0,B
C,52.33,1.375,D,D,C,E,9.46,B,A,0.0,B,A,200.0,100.0,B
C,28.75,1.5,D,D,C,I,1.5,B,A,0.0,B,A,0.0,225.0,B
B,28.58,3.54,C,B,H,B,0.5,B,A,0.0,B,A,171.0,0.0,B
C,23.0,0.625,D,D,B,I,0.125,B,A,0.0,A,A,180.0,1.0,B
C,?,0.5,C,B,C,B,0.835,B,A,0.0,B,C,320.0,0.0,B
B,22.5,11.0,D,D,L,I,3.0,B,A,0.0,B,A,268.0,0.0,B
B,28.5,1.0,C,B,L,I,1.0,B,B,2.0,B,A,167.0,500.0,B
C,37.5,1.75,D,D,C,B,0.25,B,A,0.0,B,A,164.0,400.0,B
C,35.25,16.5,D,D,C,I,4.0,B,A,0.0,A,A,80.0,0.0,B
C,18.67,5.0,C,B,L,I,0.375,B,B,2.0,A,A,0.0,38.0,B
C,25.0,12.0,C,B,J,I,2.25,B,B,2.0,B,A,120.0,5.0,B
C,27.83,4.0,D,D,H,E,5.75,B,B,2.0,B,A,75.0,0.0,B
C,54.83,15.5,C,B,F,J,0.0,B,B,20.0,A,A,152.0,130.0,B
C,28.75,1.165,C,B,J,I,0.5,B,A,0.0,A,C,280.0,0.0,B
B,25.0,11.0,D,D,B,I,4.5,B,A,0.0,A,A,120.0,0.0,B
C,40.92,2.25,D,D,O,E,10.0,B,A,0.0,B,A,176.0,0.0,B
B,19.75,0.75,C,B,C,I,0.795,B,B,5.0,B,A,140.0,5.0,B
C,29.17,3.5,C,B,N,I,3.5,B,B,3.0,B,A,329.0,0.0,B
B,24.5,1.04,D,D,G,D,0.5,B,B,3.0,A,A,180.0,147.0,B
C,24.58,12.5,C,B,N,I,0.875,B,A,0.0,B,A,260.0,0.0,B
B,33.75,0.75,C,B,J,B,1.0,B,B,3.0,B,A,212.0,0.0,B
C,20.67,1.25,D,D,C,E,1.375,B,B,3.0,B,A,140.0,210.0,B
B,25.42,1.125,C,B,L,I,1.29,B,B,2.0,A,A,200.0,0.0,B
C,37.75,7.0,C,B,L,E,11.5,B,B,7.0,B,A,300.0,5.0,B
C,52.5,6.5,C,B,J,I,6.29,B,B,15.0,A,A,0.0,11202.0,A
C,57.83,7.04,C,B,K,I,14.0,B,B,6.0,B,A,360.0,1332.0,A
B,20.75,10.335,C,B,D,E,0.335,B,B,1.0,B,A,80.0,50.0,A
C,39.92,6.21,C,B,L,I,0.04,B,B,1.0,A,A,200.0,300.0,A
C,25.67,12.5,C,B,D,I,1.21,B,B,67.0,B,A,140.0,258.0,A
B,24.75,12.5,C,B,B,I,1.5,B,B,12.0,B,A,120.0,567.0,A
B,44.17,6.665,C,B,L,I,7.375,B,B,3.0,B,A,0.0,0.0,A
B,23.5,9.0,C,B,L,I,8.5,B,B,5.0,B,A,120.0,0.0,A
C,34.92,5.0,C,B,O,E,7.5,B,B,6.0,B,A,0.0,1000.0,A
C,47.67,2.5,C,B,K,B,2.5,B,B,12.0,B,A,410.0,2510.0,A
C,22.75,11.0,C,B,L,I,2.5,B,B,7.0,B,A,100.0,809.0,A
C,34.42,4.25,C,B,H,B,3.25,B,B,2.0,A,A,274.0,610.0,A
B,28.42,3.5,C,B,N,I,0.835,B,A,0.0,A,C,280.0,0.0,A
C,67.75,5.5,C,B,F,J,13.0,B,B,1.0,B,A,0.0,0.0,A
C,20.42,1.835,C,B,C,I,2.25,B,B,1.0,A,A,100.0,150.0,A
B,47.42,8.0,C,B,F,B,6.5,B,B,6.0,A,A,375.0,51100.0,A
C,36.25,5.0,C,B,C,B,2.5,B,B,6.0,A,A,0.0,367.0,A
C,32.67,5.5,C,B,L,E,5.5,B,B,12.0,B,A,408.0,1000.0,A
C,48.58,6.5,C,B,L,E,6.0,B,A,0.0,B,A,350.0,0.0,A
C,39.92,0.54,D,D,B,I,0.5,B,B,3.0,A,A,200.0,1000.0,A
C,33.58,2.75,C,B,K,I,4.25,B,B,6.0,A,A,204.0,0.0,A
B,18.83,9.5,C,B,N,I,1.625,B,B,6.0,B,A,40.0,600.0,A
B,26.92,13.5,C,B,L,E,5.0,B,B,2.0,A,A,0.0,5000.0,A
B,31.25,3.75,C,B,D,E,0.625,B,B,9.0,B,A,181.0,0.0,A
B,56.5,16.0,C,B,I,D,0.0,B,B,15.0,A,A,0.0,247.0,A
C,43.0,0.29,D,D,D,E,1.75,B,B,8.0,A,A,100.0,375.0,A
C,22.33,11.0,C,B,N,I,2.0,B,B,1.0,A,A,80.0,278.0,A
C,27.25,1.665,C,B,D,E,5.085,B,B,9.0,A,A,399.0,827.0,A
C,32.83,2.5,C,B,D,E,2.75,B,B,6.0,A,A,160.0,2072.0,A
C,23.25,1.5,C,B,L,I,2.375,B,B,3.0,B,A,0.0,582.0,A
B,40.33,7.54,D,D,L,E,8.0,B,B,14.0,A,A,0.0,2300.0,A
B,30.5,6.5,C,B,C,B,4.0,B,B,7.0,B,A,0.0,3065.0,A
B,52.83,15.0,C,B,C,I,5.5,B,B,14.0,A,A,0.0,2200.0,A
B,46.67,0.46,C,B,D,E,0.415,B,B,11.0,B,A,440.0,6.0,A
B,58.33,10.0,C,B,L,I,4.0,B,B,14.0,A,A,0.0,1602.0,A
C,37.33,6.5,C,B,K,E,4.25,B,B,12.0,B,A,93.0,0.0,A
C,23.08,2.5,C,B,C,I,1.085,B,B,11.0,B,A,60.0,2184.0,A
C,32.75,1.5,C,B,D,E,5.5,B,B,3.0,B,A,0.0,0.0,A
B,21.67,11.5,D,D,I,F,0.0,B,B,11.0,B,A,0.0,0.0,A
B,28.5,3.04,D,D,O,E,2.54,B,B,1.0,A,A,70.0,0.0,A
B,68.67,15.0,C,B,F,J,0.0,B,B,14.0,A,A,0.0,3376.0,A
C,28.0,2.0,C,B,J,E,4.165,B,B,2.0,B,A,181.0,0.0,A
C,34.08,0.08,D,D,K,B,0.04,B,B,1.0,B,A,280.0,2000.0,A
C,27.67,2.0,C,B,O,E,1.0,B,B,4.0,A,A,140.0,7544.0,A
C,44.0,2.0,C,B,K,I,1.75,B,B,2.0,B,A,0.0,15.0,A
C,25.08,1.71,C,B,O,I,1.665,B,B,1.0,B,A,395.0,20.0,A
C,32.0,1.75,D,D,F,E,0.04,B,A,0.0,B,A,393.0,0.0,A
B,60.58,16.5,C,B,L,I,11.0,B,A,0.0,B,A,21.0,10561.0,A
B,40.83,10.0,C,B,L,E,1.75,B,A,0.0,A,A,29.0,837.0,A
C,19.33,9.5,C,B,L,I,1.0,B,A,0.0,B,A,60.0,400.0,A
B,32.33,0.54,C,B,D,I,0.04,B,A,0.0,A,A,440.0,11177.0,A
C,36.67,3.25,C,B,L,E,9.0,B,A,0.0,B,A,102.0,639.0,A
C,37.5,1.125,D,D,E,I,1.5,A,A,0.0,B,A,431.0,0.0,A
B,25.08,2.54,D,D,B,I,0.25,B,A,0.0,B,A,370.0,0.0,A
C,41.33,0.0,C,B,C,B,15.0,B,A,0.0,A,A,0.0,0.0,A
C,56.0,12.5,C,B,J,E,8.0,B,A,0.0,B,A,24.0,2028.0,A
B,49.83,13.585,C,B,J,E,8.5,B,A,0.0,B,A,0.0,0.0,A
C,22.67,10.5,C,B,L,E,1.335,B,A,0.0,A,A,100.0,0.0,A
C,27.0,1.5,D,D,N,I,0.375,B,A,0.0,B,A,260.0,1065.0,A
C,25.0,12.5,C,B,B,I,3.0,B,A,0.0,B,C,20.0,0.0,A
B,26.08,8.665,C,B,B,I,1.415,B,A,0.0,A,A,160.0,150.0,A
B,18.42,9.25,C,B,L,I,1.21,B,B,4.0,A,A,60.0,540.0,A
C,20.17,8.17,C,B,B,I,1.96,B,B,14.0,A,A,60.0,158.0,A
C,47.67,0.29,C,B,C,B,15.0,B,B,20.0,A,A,0.0,15000.0,A
B,21.25,2.335,C,B,H,B,0.5,B,B,4.0,A,C,80.0,0.0,A
B,20.67,3.0,C,B,L,I,0.165,B,B,3.0,A,A,100.0,6.0,A
B,57.08,19.5,C,B,C,I,5.5,B,B,7.0,A,A,0.0,3000.0,A
B,22.42,5.665,C,B,L,I,2.585,B,B,7.0,A,A,129.0,3257.0,A
C,48.75,8.5,C,B,C,E,12.5,B,B,9.0,A,A,181.0,1655.0,A
C,40.0,6.5,C,B,B,B,3.5,B,B,1.0,A,A,0.0,500.0,A
C,40.58,5.0,C,B,C,I,5.0,B,B,7.0,A,A,0.0,3065.0,A
B,28.67,1.04,C,B,C,I,2.5,B,B,5.0,B,A,300.0,1430.0,A
B,33.08,4.625,C,B,L,E,1.625,B,B,2.0,A,A,0.0,0.0,A
C,21.33,10.5,C,B,C,I,3.0,B,A,0.0,B,A,0.0,0.0,A
C,42.0,0.205,C,B,H,E,5.125,B,A,0.0,A,A,400.0,0.0,A
C,41.75,0.96,C,B,O,I,2.5,B,A,0.0,A,A,510.0,600.0,A
C,22.67,1.585,D,D,N,I,3.085,B,B,6.0,A,A,80.0,0.0,A
C,34.5,4.04,D,D,H,B,8.5,B,B,7.0,B,A,195.0,0.0,A
C,28.25,5.04,D,D,C,B,1.5,B,B,8.0,B,A,144.0,7.0,A
C,33.17,3.165,D,D,O,I,3.165,B,B,3.0,B,A,380.0,0.0,A
C,48.17,7.625,C,B,N,E,15.5,B,B,12.0,A,A,0.0,790.0,A
C,27.58,2.04,D,D,B,I,2.0,B,B,3.0,B,A,370.0,560.0,A
C,22.58,10.04,C,B,O,I,0.04,B,B,9.0,A,A,60.0,396.0,A
B,24.08,0.5,C,B,L,E,1.25,B,B,1.0,A,A,0.0,678.0,A
B,41.33,1.0,C,B,H,B,2.25,B,A,0.0,B,A,0.0,300.0,A
C,24.83,2.75,C,B,C,I,2.25,B,B,6.0,A,A,?,600.0,A
B,20.75,10.25,C,B,L,I,0.71,B,B,2.0,B,A,49.0,0.0,A
C,36.33,2.125,D,D,N,I,0.085,B,B,1.0,A,A,50.0,1187.0,A
B,35.42,12.0,C,B,L,E,14.0,B,B,8.0,A,A,0.0,6590.0,A
B,71.58,0.0,A,A,A,A,0.0,A,A,0.0,A,B,?,0.0,A
C,28.67,9.335,C,B,L,E,5.665,B,B,6.0,A,A,381.0,168.0,A
C,35.17,2.5,C,B,J,I,4.5,B,B,7.0,A,A,150.0,1270.0,A
C,39.5,4.25,C,B,C,B,6.5,B,B,16.0,A,A,117.0,1210.0,A
C,39.33,5.875,C,B,D,E,10.0,B,B,14.0,B,A,399.0,0.0,A
C,24.33,6.625,D,D,E,I,5.5,B,A,0.0,B,C,100.0,0.0,A
C,60.08,14.5,C,B,G,D,18.0,B,B,15.0,B,A,0.0,1000.0,A
C,23.08,11.5,C,B,H,I,3.5,B,B,9.0,A,A,56.0,742.0,A
C,26.67,2.71,D,D,D,I,5.25,B,B,1.0,A,A,211.0,0.0,A
C,48.17,3.5,C,B,B,I,3.5,B,A,0.0,A,C,230.0,0.0,A
C,41.17,4.04,C,B,D,E,7.0,B,B,8.0,A,A,320.0,0.0,A
C,55.92,11.5,C,B,G,D,5.0,B,B,5.0,A,A,0.0,8851.0,A
C,53.92,9.625,C,B,F,I,8.665,B,B,5.0,A,A,0.0,0.0,A
B,18.92,9.25,D,D,C,I,1.0,B,B,4.0,B,A,80.0,500.0,A
B,50.08,12.54,C,B,B,I,2.29,B,B,3.0,B,A,156.0,0.0,A
C,65.42,11.0,C,B,F,J,20.0,B,B,7.0,B,A,22.0,0.0,A
B,17.58,9.0,C,B,B,I,1.375,B,A,0.0,B,A,0.0,0.0,A
B,18.83,9.54,C,B,B,I,0.085,B,A,0.0,A,A,100.0,0.0,A
B,37.75,5.5,C,B,L,I,0.125,B,A,0.0,B,A,228.0,0.0,A
C,23.25,4.0,C,B,C,B,0.25,B,A,0.0,B,A,160.0,0.0,A
C,18.08,5.5,C,B,J,I,0.5,B,A,0.0,A,A,80.0,0.0,A
B,22.5,8.46,D,D,O,I,2.46,A,A,0.0,A,A,164.0,0.0,A
C,19.67,0.375,C,B,L,I,2.0,B,B,2.0,B,A,80.0,0.0,A
C,22.08,11.0,C,B,D,I,0.665,B,A,0.0,A,A,100.0,0.0,A
C,25.17,3.5,C,B,D,I,0.625,B,B,7.0,A,A,0.0,7059.0,A
B,47.42,3.0,C,B,O,I,13.875,B,B,2.0,B,A,519.0,1704.0,A
C,33.5,1.75,C,B,O,E,4.5,B,B,4.0,B,A,253.0,857.0,A
C,27.67,13.75,C,B,N,I,5.75,B,A,0.0,B,A,487.0,500.0,A
B,58.42,21.0,C,B,H,B,10.0,B,B,13.0,A,A,0.0,6700.0,A
B,20.67,1.835,C,B,L,I,2.085,B,B,5.0,A,A,220.0,2503.0,A
C,26.17,0.25,C,B,H,B,0.0,B,A,0.0,B,A,0.0,0.0,A
C,21.33,7.5,C,B,B,I,1.415,B,B,1.0,A,A,80.0,9800.0,A
C,42.83,4.625,C,B,L,I,4.58,B,A,0.0,A,C,0.0,0.0,A
C,38.17,10.125,C,B,O,I,2.5,B,B,6.0,A,A,520.0,196.0,A
C,20.5,10.0,D,D,C,I,2.5,B,A,0.0,A,C,40.0,0.0,A
C,48.25,25.085,C,B,N,I,1.75,B,B,3.0,A,A,120.0,14.0,A
C,28.33,5.0,C,B,N,I,11.0,B,A,0.0,B,A,70.0,0.0,A
B,18.75,7.5,C,B,L,I,2.71,B,B,5.0,A,A,?,26726.0,A
C,18.5,2.0,C,B,H,I,1.5,B,B,2.0,A,A,120.0,300.0,A
C,33.17,3.04,D,D,C,E,2.04,B,B,1.0,B,A,180.0,18027.0,A
C,45.0,8.5,C,B,D,E,14.0,B,B,1.0,B,A,88.0,2000.0,A
B,19.67,0.21,C,B,L,E,0.29,B,B,11.0,A,A,80.0,99.0,A
A,24.5,12.75,C,B,C,B,4.75,B,B,2.0,A,A,73.0,444.0,A
C,21.83,11.0,C,B,O,I,0.29,B,B,6.0,A,A,121.0,0.0,A
C,40.25,21.5,C,B,F,J,20.0,B,B,11.0,A,A,0.0,1200.0,A
C,41.42,5.0,C,B,L,E,5.0,B,B,6.0,B,A,470.0,0.0,A
B,17.83,11.0,C,B,O,E,1.0,B,B,11.0,A,A,0.0,3000.0,A
C,23.17,11.125,C,B,O,E,0.46,B,B,1.0,A,A,100.0,0.0,A
C,?,0.625,C,B,J,I,0.25,A,A,0.0,A,A,380.0,2010.0,B
C,18.17,10.25,C,B,C,E,1.085,A,A,0.0,A,A,320.0,13.0,B
C,20.0,11.045,C,B,C,I,2.0,A,A,0.0,B,A,136.0,0.0,B
C,20.0,0.0,C,B,E,I,0.5,A,A,0.0,A,A,144.0,0.0,B
B,20.75,9.54,C,B,H,I,0.04,A,A,0.0,A,A,200.0,1000.0,B
B,24.5,1.75,D,D,C,I,0.165,A,A,0.0,A,A,132.0,0.0,B
C,32.75,2.335,C,B,E,E,5.75,A,A,0.0,B,A,292.0,0.0,B
B,52.17,0.0,D,D,G,D,0.0,A,A,0.0,A,A,0.0,0.0,B
B,48.17,1.335,C,B,H,H,0.335,A,A,0.0,A,A,0.0,120.0,B
B,20.42,10.5,D,D,O,E,0.0,A,A,0.0,B,A,154.0,32.0,B
C,50.75,0.585,C,B,G,D,0.0,A,A,0.0,A,A,145.0,0.0,B
C,17.08,0.085,D,D,C,I,0.04,A,A,0.0,A,A,140.0,722.0,B
C,18.33,1.21,D,D,F,C,0.0,A,A,0.0,A,A,100.0,0.0,B
B,32.0,6.0,C,B,E,I,1.25,A,A,0.0,A,A,272.0,0.0,B
C,59.67,1.54,C,B,L,I,0.125,B,A,0.0,B,A,260.0,0.0,A
C,18.0,0.165,C,B,L,G,0.21,A,A,0.0,A,A,200.0,40.0,A
C,37.58,0.0,A,A,A,A,0.0,A,A,0.0,A,B,?,0.0,A
C,32.33,2.5,C,B,C,I,1.25,A,A,0.0,B,A,280.0,0.0,B
C,18.08,6.75,D,D,K,I,0.04,A,A,0.0,A,A,140.0,0.0,B
C,38.25,10.125,D,D,J,I,0.125,A,A,0.0,A,A,160.0,0.0,B
C,30.67,2.5,C,B,D,E,2.25,A,A,0.0,B,C,340.0,0.0,B
C,18.58,5.71,C,B,E,I,0.54,A,A,0.0,A,A,120.0,0.0,B
B,19.17,5.415,C,B,H,E,0.29,A,A,0.0,A,A,80.0,484.0,B
B,18.17,10.0,D,D,L,E,0.165,A,A,0.0,A,A,340.0,0.0,B
C,24.58,13.5,D,D,G,D,0.0,A,A,0.0,A,A,?,0.0,B
C,16.25,0.835,C,B,K,I,0.085,B,A,0.0,A,C,200.0,0.0,B
C,21.17,0.875,D,D,C,E,0.25,A,A,0.0,A,A,280.0,204.0,B
C,23.92,0.585,D,D,D,E,0.125,A,A,0.0,A,A,240.0,1.0,B
C,17.67,4.46,C,B,C,I,0.25,A,A,0.0,A,C,80.0,0.0,B
B,16.5,1.25,C,B,L,I,0.25,A,B,1.0,A,A,108.0,98.0,B
C,23.25,12.625,C,B,C,I,0.125,A,B,2.0,A,A,0.0,5552.0,B
C,17.58,10.0,C,B,N,E,0.165,A,B,1.0,A,A,120.0,1.0,B
B,?,1.5,C,B,G,D,0.0,A,B,2.0,B,A,200.0,105.0,B
C,29.5,0.58,C,B,N,I,0.29,A,B,1.0,A,A,340.0,2803.0,B
C,18.83,0.415,D,D,C,I,0.165,A,B,1.0,A,A,200.0,1.0,B
B,21.75,1.75,D,D,I,F,0.0,A,A,0.0,A,A,160.0,0.0,B
C,23.0,0.75,C,B,K,I,0.5,A,A,0.0,B,C,320.0,0.0,B
B,18.25,10.0,C,B,N,I,1.0,A,B,1.0,A,A,120.0,1.0,B
C,25.42,0.54,C,B,N,I,0.165,A,B,1.0,A,A,272.0,444.0,B
C,35.75,2.415,C,B,N,I,0.125,A,B,2.0,A,A,220.0,1.0,B
B,16.08,0.335,C,B,G,D,0.0,A,B,1.0,A,A,160.0,126.0,B
B,31.92,3.125,C,B,G,D,3.04,A,B,2.0,B,A,200.0,4.0,B
C,69.17,9.0,C,B,G,D,4.0,A,B,1.0,A,A,70.0,6.0,B
C,32.92,2.5,C,B,B,I,1.75,A,B,2.0,B,A,720.0,0.0,B
C,16.33,2.75,C,B,B,I,0.665,A,B,1.0,A,A,80.0,21.0,B
